atpm_bound,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
100.0,b0052,1,406,0.0796779070803418,-7.126284122724962e-16,0.0796779070803426,1,584.8773389545313
100.0,b2564,1,406,0.0796779070803418,0.0,0.0796779070803418,1,584.8773389545516
100.0,b0369,1,406,0.0796779070803418,0.0,0.0796779070803418,1,584.8773389545516
100.0,b4005,1,406,0.0796779070803418,-7.026474386448403e-14,0.0796779070804121,1,584.877338954788
100.0,b2557,1,406,0.0796779070803418,1.2624553676424456e-14,0.0796779070803292,1,584.8773389544939
100.0,b2441,1,34,0.0796779070803418,0.0796779070803433,-1.4155343563970746e-15,0,424.8718549920553
100.0,b2440,1,34,0.0796779070803418,0.0796779070803391,2.706168622523819e-15,0,424.871854992054
100.0,b2049,1,34,0.0796779070803418,0.0796779070803391,2.706168622523819e-15,0,424.871854992054
100.0,b3806,1,34,0.0796779070803418,0.0796779070803391,2.706168622523819e-15,0,424.871854992054
100.0,b2533,2,34,0.0796779070803418,0.0796779070803391,2.706168622523819e-15,0,424.871854992054
100.0,b0333,1,34,0.0796779070803418,0.0796779070803391,2.706168622523819e-15,0,424.871854992054
100.0,b3590,1,34,0.0796779070803418,0.0796779070803391,2.706168622523819e-15,0,424.871854992054
100.0,b2173,1,34,0.0796779070803418,0.0796779070803391,2.706168622523819e-15,0,424.871854992054
100.0,b2918,1,34,0.0796779070803418,0.0796779070803391,2.706168622523819e-15,0,424.871854992054
100.0,b2727,1,34,0.0796779070803418,0.0796779070803391,2.706168622523819e-15,0,424.871854992054
100.0,b4173,1,34,0.0796779070803418,0.0796779070803391,2.706168622523819e-15,0,424.871854992054
100.0,b4352,1,34,0.0796779070803418,0.0796779070803391,2.706168622523819e-15,0,424.871854992054
100.0,b4161,4,34,0.0796779070803418,0.0796779070803391,2.706168622523819e-15,0,424.871854992054
100.0,b1852,1,333,0.0796779070803418,0.0787849469811582,0.0008929600991836,0,430.84695932248496
100.0,b0134,1,406,0.0796779070803418,0.0,0.0796779070803418,1,584.8773389547121
100.0,b2028,1,34,0.0796779070803418,0.0796779070803405,1.3877787807814457e-15,0,424.8718549920544
100.0,b2787,1,34,0.0796779070803418,0.0796779070803219,1.990074771640593e-14,0,424.8718549920485
100.0,b2788,1,34,0.0796779070803418,0.0796779070803219,1.990074771640593e-14,0,424.8718549920485
100.0,b3791,1,34,0.0796779070803418,0.0796779070803219,1.990074771640593e-14,0,424.8718549920485
100.0,b3787,1,34,0.0796779070803418,0.0796779070803219,1.990074771640593e-14,0,424.8718549920485
100.0,b1415,2,34,0.0796779070803418,0.0796779070803219,1.990074771640593e-14,0,424.8718549920485
100.0,b1493,1,34,0.0796779070803418,0.0796779070803219,1.990074771640593e-14,0,424.8718549920485
100.0,b3517,1,34,0.0796779070803418,0.0796779070803219,1.990074771640593e-14,0,424.8718549920485
100.0,b3551,3,34,0.0796779070803418,0.0796779070803219,1.990074771640593e-14,0,424.8718549920485
100.0,b2750,1,406,0.0796779070803418,-3.4107772878459276e-16,0.0796779070803422,1,584.8773389544459
100.0,b1622,1,406,0.0796779070803418,0.0,0.0796779070803418,1,584.8773389545188
100.0,b3939,1,406,0.0796779070803418,-1.7459235529728128e-29,0.0796779070803418,1,584.8773389544988
100.0,b2661,1,34,0.0796779070803418,0.0796779070803377,4.191091917959966e-15,0,424.8718549920532
100.0,b0241,283,411,0.0796779070803418,0.0,0.0796779070803418,1,26860.35874098214
100.0,b2215,285,411,0.0796779070803418,0.0,0.0796779070803418,1,26860.35874098214
100.0,b0929,285,411,0.0796779070803418,0.0,0.0796779070803418,1,26860.35874098214
100.0,b1377,284,411,0.0796779070803418,0.0,0.0796779070803418,1,26860.35874098214
100.0,b0411,7,64,0.0796779070803418,0.079677907080573,-2.31120678151342e-13,0,424.7794928769469
100.0,b1319,1,411,0.0796779070803418,0.0,0.0796779070803418,1,26860.35874098214
100.0,b3875,3,411,0.0796779070803418,0.0,0.0796779070803418,1,26860.35874098214
100.0,b0957,1,411,0.0796779070803418,0.0,0.0796779070803418,1,26860.35874098214
100.0,b1805,10,62,0.0796779070803418,0.0796779070803296,1.2212453270876722e-14,0,423.6073924118975
100.0,b1701,10,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b1646,1,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b2203,2,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b2202,2,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b2206,2,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b2205,1,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b2204,1,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b0980,2,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b0383,15,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b1468,2,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b1224,2,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b1225,2,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b1226,2,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b1227,2,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b1466,2,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b1467,2,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b1465,2,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b1602,1,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b1603,1,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b0997,2,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b0996,2,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b1873,4,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b1872,4,62,0.0796779070803418,0.0796779070803458,-3.969047313034935e-15,0,423.6073924119041
100.0,b3845,8,363,0.0796779070803418,0.0783006046283717,0.0013773024519701,0,422.2018806077247
100.0,b2342,8,363,0.0796779070803418,0.0783006046283594,0.0013773024519824,0,422.20188060772017
100.0,b4388,1,379,0.0796779070803418,0.0763641064957813,0.0033138005845605,0,422.25108532379016
100.0,b0010,2,411,0.0796779070803418,0.0,0.0796779070803418,1,26860.35874098214
100.0,b3528,6,7,0.0796779070803418,0.079677907080348,-6.175615574477433e-15,0,423.6052429249996
100.0,b4123,9,7,0.0796779070803418,0.0796779070803322,9.645062526431047e-15,0,423.605242924993
100.0,b0621,4,7,0.0796779070803418,0.0796779070803322,9.645062526431047e-15,0,423.605242924993
100.0,b4138,7,7,0.0796779070803418,0.0796779070803322,9.645062526431047e-15,0,423.605242924993
100.0,b2417,6,407,0.0796779070803418,0.0597584303102474,0.0199194767700944,0,1211.6410310144115
100.0,b2429,2,7,0.0796779070803418,0.0796779070803441,-2.275957200481571e-15,0,423.6052429249975
100.0,b2423,5,406,0.0796779070803418,7.831723074203627e-16,0.0796779070803411,1,584.8773389544874
100.0,b2422,5,406,0.0796779070803418,0.0,0.0796779070803418,1,584.8773389545029
100.0,b0764,3,406,0.0796779070803418,0.0,0.0796779070803418,1,584.8773389545029
100.0,b0765,3,406,0.0796779070803418,0.0,0.0796779070803418,1,584.8773389545029
100.0,b0763,3,406,0.0796779070803418,0.0,0.0796779070803418,1,584.8773389545029
100.0,b2425,5,406,0.0796779070803418,0.0,0.0796779070803418,1,584.8773389545029
100.0,b2424,5,406,0.0796779070803418,0.0,0.0796779070803418,1,584.8773389545029
100.0,b3917,5,406,0.0796779070803418,0.0,0.0796779070803418,1,584.8773389545029
100.0,b3063,1,7,0.0796779070803418,0.0796779070803363,5.578870698741412e-15,0,423.60524292499446
100.0,b2913,3,377,0.0796779070803418,0.0763641064957976,0.0033138005845442,0,422.2479803634531
100.0,b0366,3,7,0.0796779070803418,0.0796779070803366,5.2735593669694936e-15,0,423.60524292499446
100.0,b0367,3,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b0365,3,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b2964,11,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b2393,8,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b1291,1,281,0.0796779070803418,0.0795850756475471,9.283143279474604e-05,0,423.62950055905895
100.0,b1250,1,281,0.0796779070803418,0.0795850756475477,9.283143279419093e-05,0,423.6295005590595
100.0,b1363,1,281,0.0796779070803418,0.0795850756475477,9.283143279419093e-05,0,423.6295005590595
100.0,b3290,1,281,0.0796779070803418,0.0795850756475477,9.283143279419093e-05,0,423.6295005590595
100.0,b3747,1,281,0.0796779070803418,0.0795850756475477,9.283143279419093e-05,0,423.6295005590595
100.0,b3849,1,281,0.0796779070803418,0.0795850756475477,9.283143279419093e-05,0,423.6295005590595
100.0,b2587,1,7,0.0796779070803418,0.0796779070803542,-1.2323475573339238e-14,0,423.6052429250021
100.0,b4031,1,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b0067,1,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b0066,1,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b0068,1,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b2406,6,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b3460,5,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b3455,5,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b3454,5,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b3457,5,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b3456,5,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b4240,1,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b3161,2,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b3709,1,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b0112,4,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b1907,1,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b3567,1,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b3566,1,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b3568,1,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b3577,2,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b3578,2,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b3579,2,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b3089,2,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b2153,1,406,0.0796779070803418,-3.8232400347055975e-12,0.0796779070841651,1,584.8773389690878
100.0,b0935,5,7,0.0796779070803418,0.0796779070803385,3.386180225106728e-15,0,423.60524292499525
100.0,b0151,5,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b0153,5,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b0152,5,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b0158,3,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b1709,3,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b1711,3,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b2223,3,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b1101,2,407,0.0796779070803418,0.0597584303102672,0.0199194767700746,0,1211.6410310144292
100.0,b0679,1,7,0.0796779070803418,0.0796779070803482,-6.397660179402465e-15,0,423.6052429249987
100.0,b1817,6,407,0.0796779070803418,0.0597584303102672,0.0199194767700746,0,1211.6410310144292
100.0,b1819,6,407,0.0796779070803418,0.0597584303102622,0.0199194767700796,0,1211.6410310144247
100.0,b1818,6,407,0.0796779070803418,0.0597584303102622,0.0199194767700796,0,1211.6410310144247
100.0,b3224,1,7,0.0796779070803418,0.0796779070803482,-6.397660179402465e-15,0,423.6052429249987
100.0,b0311,1,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b4381,1,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b0592,2,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
100.0,b0590,2,7,0.0796779070803418,0.0796779070803522,-1.0352829704629583e-14,0,423.6052429250011
