rxn,v_plain,v_canon
ACHBS,0.04522274453645475,0.045222744245925754
ACKr,2.787411634019718,-0.0
ACLS,0.13608570450158758,0.13608570362731867
ACM6PH,-0.0,-0.0
ACMAMUT,-0.0,-0.0
ACMANAptspp,0.0,-0.0
ACMANAtex,-0.0,-0.0
ACMUMptspp,0.0,-0.0
ACMUMtex,-0.0,-0.0
ACNAMt2pp,-0.0,-0.0
ACNAMtex,-0.0,-0.0
ACNML,-0.0,-0.0
ACOAD1f,-0.05539505634767448,-0.055395055991794485
ACOAD2f,-0.05539505634767448,-0.055395055991794485
ACOAD3f,-0.05539505634767448,-0.055395055991794485
ACOAD4f,-0.05539505634767448,-0.055395055991794485
ACOAD5f,-0.05539505634767448,-0.055395055991794485
ACOAD6f,-0.04328124027146503,-0.043281239993409035
ACOAD7f,-0.01986613535894402,-0.019866135231316022
ACOAD8f,-0.0,-0.0
ACOATA,-0.0,-0.0
ACODA,0.04604196500840545,0.046041964712613445
ACOLIPAabctex,-0.0,-0.0
ACONIs,-0.0,-0.0
ACONMT,0.0,0.0
ACONTa,0.6280041715956942,0.9849268020904933
ACONTb,0.6280041715956942,0.9849268020904933
ACOTA,-0.04604196500840545,-0.046041964712613445
ACPPAT120,-0.0,0.0
ACPPAT140,-0.0,0.0
ACPPAT141,-0.0,0.0
ACPPAT160,0.00993306767947201,0.0
ACPPAT161,0.011707552456260505,0.0
ACPPAT180,-0.0,0.0
ACPPAT181,-0.0,0.0
ACPS1,0.0,0.0
ACS,0.0,0.0
ACSERtex,-0.0,-0.0
ACSERtpp,0.0,0.0
ACt2rpp,-1000.0,-0.09068177514745324
ACt4pp,1000.0,0.0
ACtex,-0.0,-0.09068177514745324
ADA,0.0,0.0
ADCL,0.00010413423821679924,0.00010413423754780052
ADCS,0.00010413423821679924,0.00010413423754780052
ADD,-0.0,0.0
ADEt2rpp,-0.0,-0.0
ADEtex,-0.0,-0.0
ADK1,0.4086974659114083,0.4085927064217964
ADK3,-1000.0,-0.0
ADK4,-0.0,-0.0
ADMDC,-0.0,-0.0
ADNCYC,-0.0,-0.0
ADNK1,0.0001047568644542681,0.00010475686378126808
ADNUC,0.0,0.0
ADNt2pp_copy1,0.0,0.0
ADNt2pp_copy2,-0.0,-0.0
ADNtex,-0.0,-0.0
ADOCBIK,0.0,0.0
ADOCBLS,-0.0,-0.0
ADOCBLabcpp,0.0,0.0
ADOCBLtonex,-0.0,-0.0
ADPRDP,-0.0,-0.0
ADPT,0.0,0.0
ADSK,0.03858290268351895,0.03858290243564707
ADSL1r,0.04654707054388543,0.04654707024451573
ADSL2r,0.06973647344528153,0.069736472996976
ADSS,0.04654707054388543,0.04654707024451573
AGDC,-0.0,-0.0
AGM3PA,-0.0,-0.0
AGM3PApp,0.0,0.0
AGM3PH,0.0,0.0
AGM3Pt2pp,-0.0,-0.0
AGM4PA,-0.0,-0.0
AGM4PApp,-0.0,0.0
AGM4PCP,0.0,0.0
AGM4PCPpp,0.0,0.0
AGM4PH,-0.0,-0.0
AGM4Pt2pp,-0.0,-0.0
AGMH,-0.0,-0.0
AGMHE,-0.0,-0.0
AGMT,-0.0,-0.0
AGMt2pp,0.0,-0.0
AGMtex,-0.0,-0.0
AGPAT120,-0.0,-0.0
AGPAT140,-0.0,-0.0
AGPAT141,-0.0,-0.0
AGPAT160,0.00993306767947201,0.009933067615658011
AGPAT161,0.011707552456260505,0.011707552381046505
AGPAT180,-0.0,-0.0
AGPAT181,0.0,-0.0
AGPR,-0.08045062573936865,-0.046041964712613445
