gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,gene_id_str
b1611,1,446,0.8217979336265955,0.7565406542464391,0.06525727938015635,0,2864.5234682324317,b1611
b1612,1,446,0.8217979336265955,0.7565406542464391,0.06525727938015635,0,2864.5234682324317,b1612
b1638,2,28,0.8217979336265955,0.8217979336265754,2.0095036745715333e-14,0,310.78407161013155,b1638
b0907,3,431,0.8217979336265955,-1.761267683281067e-16,0.8217979336265957,1,15424.395931635805,b0907
b1210,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931635032,b1210
b3429,1,28,0.8217979336265955,0.821797933626858,-2.625677453238495e-13,0,310.78407161008954,b3429
b3417,5,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b3417
b3428,2,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b3428
b0428,1,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b0428
b0120,1,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b0120
b2937,1,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b2937
b4117,1,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b4117
b3172,1,431,0.8217979336265955,1.6661659138193515e-15,0.8217979336265938,1,15424.395931635767,b3172
b3958,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931635028,b3958
b0121,2,28,0.8217979336265955,0.8217979336266008,-5.329070518200751e-15,0,310.7840716101357,b0121
b0154,1,431,0.8217979336265955,8.66781590877641e-16,0.8217979336265946,1,15424.395931635787,b0154
b0918,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634583,b0918
b4322,1,28,0.8217979336265955,0.8217979336265934,2.1094237467877974e-15,0,310.78407161013445,b4322
b3091,1,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b3091
b3092,2,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b3092
b3176,1,431,0.8217979336265955,8.66781590877641e-16,0.8217979336265946,1,15424.395931635798,b3176
b3730,2,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634534,b3730
b3189,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634534,b3189
b3967,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634892,b3967
b3786,1,28,0.8217979336265955,0.821797933626592,3.4416913763379853e-15,0,310.7840716101344,b3786
b2323,13,431,0.8217979336265955,8.66781590877641e-16,0.8217979336265946,1,15424.395931635798,b2323
b2232,2,28,0.8217979336265955,0.821797933626584,1.1435297153639112e-14,0,310.7840716101333,b2232
b0593,1,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b0593
b0142,1,431,0.8217979336265955,1.5304023874064765e-15,0.8217979336265939,1,15424.3959316358,b0142
b3634,1,431,0.8217979336265955,-1.3095411733111541e-13,0.8217979336267265,1,15424.395931639563,b3634
b0394,1,28,0.8217979336265955,0.8217979336265916,3.885780586188048e-15,0,310.7840716101342,b0394
b0173,1,431,0.8217979336265955,2.463190446435551e-11,0.8217979336019636,1,15424.395930731469,b0173
b3843,1,431,0.8217979336265955,3.298758057383248e-11,0.8217979335936079,1,15424.395930426574,b3843
b0477,2,28,0.8217979336265955,0.8217979336266014,-5.88418203051333e-15,0,310.78407161013536,b0477
b1302,3,431,0.8217979336265955,2.4290156035408986e-16,0.8217979336265953,1,15424.3959316338,b1302
b2662,3,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931635141,b2662
b1525,2,28,0.8217979336265955,0.8217979336266105,-1.4988010832439613e-14,0,310.78407161013735,b1525
b4139,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b4139
b3117,2,431,0.8217979336265955,-1.9064054719457946e-15,0.8217979336265974,1,15424.395931633877,b3117
b2797,1,28,0.8217979336265955,0.8217979336265925,2.9976021664879227e-15,0,310.7840716101344,b2797
b1814,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b1814
b4471,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b4471
b3616,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b3616
b3589,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b3589
b3774,3,431,0.8217979336265955,-8.316610804788672e-16,0.8217979336265963,1,15424.395931633813,b3774
b0185,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634836,b0185
b3256,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634914,b3256
b3255,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634914,b3255
b2316,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634914,b2316
b2615,1,431,0.8217979336265955,-5.053429863196059e-12,0.8217979336316489,1,15424.395931820021,b2615
b2265,1,28,0.8217979336265955,0.8217979336265813,1.4210854715202004e-14,0,310.7840716101329,b2265
b2261,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b2261
b0596,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b0596
b0595,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b0595
b4198,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b4198
b0061,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b0061
b3583,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b3583
b4374,3,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b4374
b0675,7,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b0675
b2291,6,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b2291
b2361,8,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b2361
b1651,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b1651
b0766,2,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b0766
b3826,6,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b3826
b0758,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b0758
b0420,1,431,0.8217979336265955,2.075694724921771e-11,0.8217979336058385,1,15424.39593087314,b0420
b1208,1,431,0.8217979336265955,2.4633672559126195e-11,0.8217979336019618,1,15424.395930732095,b1208
b2746,1,431,0.8217979336265955,2.463367255911375e-11,0.8217979336019618,1,15424.39593073209,b2746
b3526,1,28,0.8217979336265955,0.8217979336265915,3.9968028886505635e-15,0,310.78407161013445,b3526
b3565,2,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b3565
b2048,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b2048
b4015,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b4015
b0116,3,427,0.8217979336265955,0.7582719432621837,0.06352599036441176,0,1404.1011274616405,b0116
