gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,engine
b0221,,8,133,0.15565655936741177,0.1556565593674119,-1.3877787807814457e-16,0,1.2023650866985978,
b1091,,3,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329689,
b3957,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296894,
b3200,,9,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329686,
b4261,,9,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296815,
b3201,,9,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296934,
b4262,,9,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296957,
b3199,,9,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296957,
b1519,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b1276,,2,423,0.15565655936741177,0.0,0.15565655936741177,1,402.0303297225875,
b0118,,3,423,0.15565655936741177,0.0,0.15565655936741177,1,402.0303297225877,
b1748,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329691,
b3359,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773297065,
b1090,,7,4,0.15565655936741177,0.1556565593674117,5.551115123125783e-17,0,2.6256468450257772e-06,
b3475,,1,4,0.15565655936741177,0.15565655936741216,-3.885780586188048e-16,0,2.6256468450257857e-06,
b2563,,1,4,0.15565655936741177,0.15565655936741216,-3.885780586188048e-16,0,2.6256468450257857e-06,
b2578,,2,4,0.15565655936741177,0.1556565593674117,5.551115123125783e-17,0,2.6256468450257772e-06,
b1533,,2,4,0.15565655936741177,0.1556565593674117,5.551115123125783e-17,0,2.6256468450257772e-06,
b4067,,2,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b1623,,2,4,0.15565655936741177,0.1556565593674119,-1.3877787807814457e-16,0,2.625646845025781e-06,
b1096,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296945,
b1812,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329697,
b3360,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773297025,
b3665,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,4.819528697947759e-09,
b3654,,3,8,0.15565655936741177,0.15565655936741177,0.0,0,2.630466373723007e-06,
b3714,,1,8,0.15565655936741177,0.15565655936741177,0.0,0,2.630466373723007e-06,
b0474,,13,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329693,
b0120,,1,0,0.15565655936741177,0.15565655936741177,0.0,0,0.0,
b3806,,1,4,0.15565655936741177,0.15565655936741232,-5.551115123125783e-16,0,2.6256468450257882e-06,
b0030,,5,4,0.15565655936741177,0.15565655936741205,-2.7755575615628914e-16,0,2.625646845025783e-06,
b2393,,7,4,0.15565655936741177,0.15565655936741177,0.0,0,2.6256468450257785e-06,
b2964,,11,4,0.15565655936741177,0.15565655936741174,2.7755575615628914e-17,0,2.625646845025778e-06,
b2406,,6,8,0.15565655936741177,0.15565655936741177,0.0,0,2.630466373723591e-06,
b0411,,7,8,0.15565655936741177,0.1556565593674117,5.551115123125783e-17,0,2.6304663737230273e-06,
b1992,,1,4,0.15565655936741177,0.15565655936741157,1.942890293094024e-16,0,2.625646845025775e-06,
b1709,,3,4,0.15565655936741177,0.15565655936741188,-1.1102230246251565e-16,0,2.625646845025781e-06,
b0158,,3,4,0.15565655936741177,0.15565655936741188,-1.1102230246251565e-16,0,2.625646845025781e-06,
b1711,,3,4,0.15565655936741177,0.15565655936741188,-1.1102230246251565e-16,0,2.625646845025781e-06,
b3966,,3,4,0.15565655936741177,0.15565655936741188,-1.1102230246251565e-16,0,2.625646845025781e-06,
