gene_id,gene_name,n_gpr_rxns,b_wt,b_ko,delta_b,y_essential,kV,L1,solve_src
b1453,,1,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199203958,ok
b3502,,1,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203926,ok
b0131,,1,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311776,265.531915159149,ok
b4245,,1,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311793,265.5319151591489,ok
b4244,,1,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311793,265.5319151591489,ok
b0002,,2,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311789,265.531915159149,ok
b4024,,1,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311801,265.5319151591492,ok
b3940,,2,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311789,265.531915159149,ok
b2574,,4,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311784,265.531915159149,ok
b4139,,1,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199203994,ok
b0928,,3,0.6947359182109591,-0.0,0.6947359182109591,1,6862.8380343118,265.5319151591489,ok
b1866,,1,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203926,ok
b0654,,2,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203942,ok
b0655,,2,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203942,ok
b0652,,2,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203942,ok
b0653,,2,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203942,ok
b3528,,6,0.6947359182109591,0.6947359182109634,-4.218847493575595e-15,0,0.0,747.0868199203983,ok
b4123,,9,0.6947359182109591,0.6947359182109634,-4.218847493575595e-15,0,0.0,747.0868199203978,ok
b4138,,7,0.6947359182109591,0.6947359182109634,-4.218847493575595e-15,0,0.0,747.0868199203979,ok
b4077,,2,0.6947359182109591,0.6947359182109634,-4.218847493575595e-15,0,0.0,747.0868199203969,ok
b3503,,1,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203926,ok
b1064,,7,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199203958,ok
b1747,,1,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199204016,ok
b1539,,4,0.6947359182109591,0.6947359182109634,-4.218847493575595e-15,0,0.0,747.0868199203993,ok
b2019,,1,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311797,265.5319151591492,ok
b3738,,1,0.6947359182109591,-3.623808844794443e-14,0.6947359182109953,1,19140.12580668073,523.3333338566667,ok
b3733,,1,0.6947359182109591,-3.623808844794443e-14,0.6947359182109953,1,19140.12580668073,523.3333338566667,ok
b3732,,1,0.6947359182109591,-3.623808844794443e-14,0.6947359182109953,1,19140.12580668073,523.3333338566667,ok
b3739,,1,0.6947359182109591,-3.623808844794443e-14,0.6947359182109953,1,19140.12580668073,523.3333338566667,ok
b3736,,1,0.6947359182109591,-3.623808844794443e-14,0.6947359182109953,1,19140.12580668073,523.3333338566667,ok
b3737,,1,0.6947359182109591,-3.623808844794443e-14,0.6947359182109953,1,19140.12580668073,523.3333338566667,ok
b3734,,1,0.6947359182109591,-3.623808844794443e-14,0.6947359182109953,1,19140.12580668073,523.3333338566667,ok
b3735,,1,0.6947359182109591,-3.623808844794443e-14,0.6947359182109953,1,19140.12580668073,523.3333338566667,ok
b3731,,1,0.6947359182109591,-3.623808844794443e-14,0.6947359182109953,1,19140.12580668073,523.3333338566667,ok
b0312,,2,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.086819920389,ok
b0827,,4,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311792,265.5319151591489,ok
b3857,,5,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311776,265.53191515914904,ok
b3856,,5,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311776,265.53191515914904,ok
b4214,,1,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311793,265.53191515914887,ok
b3551,,3,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203926,ok
b0775,,1,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311784,265.531915159149,ok
b0934,,5,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203925,ok
b0367,,3,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203932,ok
b0933,,5,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203925,ok
b0936,,5,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203925,ok
b0365,,3,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203932,ok
b0366,,3,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203932,ok
b1216,,3,0.6947359182109591,0.6947359182109634,-4.218847493575595e-15,0,0.0,747.0868199203995,ok
b4132,,1,0.6947359182109591,0.6947359182109633,-4.107825191113079e-15,0,0.0,747.0868199203944,ok
b3942,,1,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203926,ok
b1732,,1,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.0868199203926,ok
b3196,,1,0.6947359182109591,-0.0,0.6947359182109591,1,6862.838034311775,265.531915159149,ok
b1270,,2,0.6947359182109591,0.6947359182109591,0.0,0,0.0,747.086819920393,ok
b2874,,1,0.6947359182109591,0.6862012897716905,0.0085346284392686,0,1.2064057760883262,747.1226074795404,ok
