gene_id,gene_name,n_gpr_rxns,b_wt,b_ko,delta_b,y_essential,kV,L1,solve_src
b4198,ulaF,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158582,ok
b0061,araD,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158582,ok
b3583,sgbE,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158582,ok
b4374,yjjG,3,0.0796779070803362,0.0796779070803363,-1.52655665885959e-16,0,0.0,747.6826098158598,ok
b0675,umpH,7,0.0796779070803362,0.0796779070803367,-5.273559366969496e-16,0,0.0,747.6826098158605,ok
b2291,yfbR,6,0.0796779070803362,0.0796779070803367,-5.412337245047638e-16,0,0.0,747.6826098158598,ok
b2361,yfdR,8,0.0796779070803362,0.0796779070803363,-1.3877787807814454e-16,0,0.0,747.6826098158581,ok
b1651,gloA,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.682609815859,ok
b0766,ybhA,2,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158585,ok
b3826,yigL,6,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b0758,galT,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158585,ok
b0420,dxs,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908274,677.3684217299998,ok
b1208,ispE,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638907864,677.3684217300003,ok
b2746,ispF,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638907864,677.3684217300003,ok
b3526,kdgK,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158581,ok
b3565,xylA,2,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158574,ok
b2048,cpsG,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b4015,aceA,1,0.0796779070803362,0.0796779070803364,-2.3592239273284576e-16,0,0.0,747.6826098158605,ok
b0116,lpd,3,0.0796779070803362,-0.0,0.0796779070803362,1,2481.287985397796,730.00000073,ok
b2903,gcvP,1,0.0796779070803362,0.0796521044591792,2.58026211569784e-05,0,0.000813093900286,747.6812013569828,ok
b2904,gcvH,1,0.0796779070803362,0.0796521044591792,2.58026211569784e-05,0,0.000813093900286,747.6812013569828,ok
b2905,gcvT,1,0.0796779070803362,0.0796521044591792,2.58026211569784e-05,0,0.000813093900286,747.6812013569828,ok
b0261,mmuM,2,0.0796779070803362,0.0796779070803353,8.881784197001252e-16,0,0.0,747.6826098158526,ok
b0759,galE,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.682609815859,ok
b0344,lacZ,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158452,ok
b4239,treC,1,0.0796779070803362,0.0796779070803363,-1.6653345369377348e-16,0,0.0,747.6826098158588,ok
b3956,ppc,1,0.0796779070803362,0.0792108317509293,0.0004670753294068,0,0.8387686171913226,747.4382644875484,ok
b0822,ybiV,7,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158587,ok
b2540,hcaC,2,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b2542,hcaD,2,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b2539,hcaF,2,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b2538,hcaE,2,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b2541,hcaB,2,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158582,ok
b0616,citE,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158746,ok
b0617,citD,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158746,ok
b0614,citX,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158746,ok
b0615,citF,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158746,ok
b2052,fcl,2,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b1636,pdxY,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158585,ok
b1277,ribA,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638909622,677.3684217299997,ok
b2751,cysN,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.510963890808,677.3684217299999,ok
b2752,cysD,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.510963890808,677.3684217299999,ok
b2799,fucO,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158533,ok
b3902,rhaD,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158585,ok
b2705,srlD,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158588,ok
b2091,gatD,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158581,ok
b3137,kbaY,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158588,ok
b3132,kbaZ,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158588,ok
b2096,gatY,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158588,ok
b2095,gatZ,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158588,ok
b4323,uxuB,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158576,ok
b1521,uxaB,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158588,ok
b3385,gph,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b0507,gcl,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158589,ok
b3061,ttdA,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b3062,ttdB,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b3126,garL,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b1095,fabF,9,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908337,677.3684217299999,ok
b1054,lpxL,1,0.0796779070803362,0.0796779070803361,2.775557561562892e-17,0,0.0,747.6826098158581,ok
b1855,lpxM,2,0.0796779070803362,0.0796779070803364,-1.8041124150158799e-16,0,0.0,747.6826098158588,ok
b2378,lpxP,1,0.0796779070803362,0.0796779070803363,-1.6653345369377348e-16,0,0.0,747.6826098158583,ok
b0109,nadC,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908056,677.3684217300001,ok
b1094,acpP,26,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389081977,677.3684217299999,ok
b2836,aas,23,0.0796779070803362,0.0783006046283596,0.0013773024519765,0,0.2661699120627492,747.6604278822416,ok
b2472,dapE,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.51096389084296,677.3684217299999,ok
b1589,ynfG,3,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b1588,ynfF,3,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b1587,ynfE,3,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b1590,ynfH,3,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b0894,dmsA,4,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158581,ok
b0895,dmsB,4,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158581,ok
b0896,dmsC,4,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158581,ok
b3553,ghrB,10,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b0638,cobC,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b3399,yrfG,5,0.0796779070803362,0.0796779070803364,-1.8041124150158799e-16,0,0.0,747.6826098158667,ok
b0469,apt,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158741,ok
b3187,ispB,1,0.0796779070803362,-0.0,0.0796779070803362,1,307.5109638908146,677.3684217299997,ok
b3222,nanK,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b3225,nanA,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158584,ok
b1732,katE,1,0.0796779070803362,0.0796779070803368,-5.828670879282072e-16,0,0.0,747.682609815862,ok
b3942,katG,1,0.0796779070803362,0.0796779070803368,-5.828670879282072e-16,0,0.0,747.682609815862,ok
b0586,entF,1,0.0796779070803362,0.0796779070803368,-5.967448757360216e-16,0,0.0,747.6826098158606,ok
b3794,rffM,1,0.0796779070803362,0.0796779070803362,-2.775557561562892e-17,0,0.0,747.6826098158588,ok
b3693,dgoK,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b2901,bglA,1,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158579,ok
b3721,bglB,2,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b2716,ascB,2,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.6826098158583,ok
b3416,malQ,4,0.0796779070803362,0.0796779070803362,0.0,0,0.0,747.682609815874,ok
