pi_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,l1_ko_highs
-0.5,b2234,,4,194,0.5183329169391334,0.5183329169392528,-1.1934897514720433e-13,0,2697.99330679829,
-0.5,b2235,,4,194,0.5183329169391334,0.5183329169392528,-1.1934897514720433e-13,0,2697.99330679829,
-0.5,b2676,,4,194,0.5183329169391334,0.5183329169392528,-1.1934897514720433e-13,0,2697.99330679829,
-0.5,b2675,,4,194,0.5183329169391334,0.5183329169392528,-1.1934897514720433e-13,0,2697.99330679829,
-0.5,b4238,,4,200,0.5183329169391334,0.5183329169392519,-1.184607967275042e-13,0,2700.3631523973354,
-0.5,b4237,,4,200,0.5183329169391334,0.5183329169391911,-5.773159728050814e-14,0,2700.363152397352,
-0.5,b3386,,1,206,0.5183329169391334,0.5183329169391858,-5.24025267623074e-14,0,2726.868401667381,
-0.5,b4301,,1,206,0.5183329169391334,0.5183329169394847,-3.512745649913997e-13,0,2726.8684016673155,
-0.5,b2914,,1,503,0.5183329169391334,0.1575647299547125,0.3607681869844209,0,4227.377937907691,
-0.5,b0638,,1,200,0.5183329169391334,0.518332916939161,-2.753353101070388e-14,0,2700.363152397348,
-0.5,b1683,,6,200,0.5183329169391334,0.518332916939409,-2.7555735471196385e-13,0,2700.363152397295,
-0.5,b1679,,4,200,0.5183329169391334,0.518332916939409,-2.7555735471196385e-13,0,2700.363152397295,
-0.5,b1680,,4,200,0.5183329169391334,0.518332916939409,-2.7555735471196385e-13,0,2700.363152397295,
-0.5,b1682,,6,200,0.5183329169391334,0.518332916939409,-2.7555735471196385e-13,0,2700.363152397295,
-0.5,b1681,,6,200,0.5183329169391334,0.518332916939409,-2.7555735471196385e-13,0,2700.363152397295,
-0.5,b1684,,2,200,0.5183329169391334,0.518332916939409,-2.7555735471196385e-13,0,2700.363152397295,
-0.5,b0222,,1,200,0.5183329169391334,0.518332916939409,-2.7555735471196385e-13,0,2700.363152397295,
-0.5,b1745,,1,200,0.5183329169391334,0.518332916939409,-2.7555735471196385e-13,0,2700.363152397295,
-0.5,b2751,,1,477,0.5183329169391334,2.2800647546780908e-14,0.5183329169391107,1,5228.005198142755,
-0.5,b2752,,1,477,0.5183329169391334,0.0,0.5183329169391334,1,5228.005198142741,
