fe_bound,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
-0.0025,b3996,1,207,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4368.159890581464
-0.0025,b2411,1,207,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4368.159890581464
-0.0025,b0639,2,459,0.1556565593674116,3.932940760358535e-12,0.1556565593634787,1,4412.574978157627
-0.0025,b4390,1,207,0.1556565593674116,0.1556565593674113,3.8857805861880484e-16,0,4368.159890581472
-0.0025,b2103,2,459,0.1556565593674116,0.0,0.1556565593674116,1,4412.408750054565
-0.0025,b2418,4,209,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4361.152203878088
-0.0025,b3831,1,209,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4361.15220387808
-0.0025,b4384,7,206,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4361.150998541435
-0.0025,b3073,1,206,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4361.150998541446
-0.0025,b3008,2,459,0.1556565593674116,2.7161755839958938e-17,0.1556565593674116,1,4412.408750054564
-0.0025,b3708,3,211,0.1556565593674116,0.1556565593670794,3.3228975127030935e-13,0,4362.909353147552
-0.0025,b1134,3,211,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4362.90935314828
-0.0025,b3614,3,211,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4362.90935314828
-0.0025,b3642,1,459,0.1556565593674116,2.7161755839958938e-17,0.1556565593674116,1,4412.408750054558
-0.0025,b0415,1,459,0.1556565593674116,0.0,0.1556565593674116,1,4412.408750054566
-0.0025,b3771,2,459,0.1556565593674116,-2.4689987742085472e-15,0.1556565593674141,1,4412.40875005457
-0.0025,b3885,1,211,0.1556565593674116,0.1556565593684437,-1.0320633236915457e-12,0,4362.909353150506
-0.0025,b2293,8,211,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4362.90935314828
-0.0025,b3114,2,156,0.1556565593674116,0.1556565593674118,-1.3877787807814454e-16,0,2766.7913865384617
-0.0025,b3951,1,156,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,2766.791386538466
-0.0025,b3952,1,156,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,2766.791386538466
-0.0025,b0902,2,156,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,2766.791386538466
-0.0025,b0903,2,156,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,2766.791386538466
-0.0025,b2579,2,156,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,2766.791386538466
-0.0025,b4154,2,155,0.1556565593674116,0.1556565593674116,8.326672684688674e-17,0,4929.33062652503
-0.0025,b4151,2,155,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4929.330626524993
-0.0025,b4153,2,155,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4929.330626524993
-0.0025,b4152,2,155,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4929.330626524993
-0.0025,b0871,1,155,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4929.330626524993
-0.0025,b2458,1,155,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4929.330626524993
-0.0025,b2297,2,155,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4929.330626524993
-0.0025,b3115,2,155,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4929.330626524993
-0.0025,b2296,1,155,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4929.330626524993
-0.0025,b1849,2,181,0.1556565593674116,0.1556565593674117,-8.326672684688674e-17,0,4921.97151101509
-0.0025,b3633,2,445,0.1556565593674116,0.0,0.1556565593674116,1,5183.824140171849
-0.0025,b0174,1,445,0.1556565593674116,0.0,0.1556565593674116,1,5183.824140171831
-0.0025,b0524,1,445,0.1556565593674116,0.0,0.1556565593674116,1,5183.824140171833
-0.0025,b0182,1,445,0.1556565593674116,0.0,0.1556565593674116,1,5183.824140171831
-0.0025,b0915,1,445,0.1556565593674116,0.0,0.1556565593674116,1,5183.824140171831
