gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,solve_src
b0511,1,14,0.3983895354016732,0.3983895354016794,-6.217248937900877e-15,0,200.18703419504487,pfba
b1901,1,14,0.3983895354016732,0.3983895354016876,-1.4377388168895777e-14,0,200.18703419504453,pfba
b1900,1,14,0.3983895354016732,0.3983895354016876,-1.4377388168895777e-14,0,200.18703419504453,pfba
b4460,1,14,0.3983895354016732,0.3983895354016876,-1.4377388168895777e-14,0,200.18703419504453,pfba
b0124,1,14,0.3983895354016732,0.3983895354016862,-1.2989609388114332e-14,0,200.1870341950445,pfba
b0837,1,14,0.3983895354016732,0.3983895354016862,-1.2989609388114332e-14,0,200.1870341950445,pfba
b4464,2,12,0.3983895354016732,0.3983895354016838,-1.0658141036401504e-14,0,0.1870341950442314,pfba
b4064,2,12,0.3983895354016732,0.3983895354016838,-1.0658141036401504e-14,0,0.1870341950442314,pfba
b0974,3,14,0.3983895354016732,0.3983895354016892,-1.6042722705833512e-14,0,200.18703419504496,pfba
b0973,3,14,0.3983895354016732,0.3983895354016892,-1.6042722705833512e-14,0,200.18703419504496,pfba
b0972,3,14,0.3983895354016732,0.3983895354016892,-1.6042722705833512e-14,0,200.18703419504496,pfba
b2997,3,14,0.3983895354016732,0.3983895354016892,-1.6042722705833512e-14,0,200.18703419504496,pfba
b2996,3,14,0.3983895354016732,0.3983895354016892,-1.6042722705833512e-14,0,200.18703419504496,pfba
b2995,3,14,0.3983895354016732,0.3983895354016892,-1.6042722705833512e-14,0,200.18703419504496,pfba
b2994,3,14,0.3983895354016732,0.3983895354016892,-1.6042722705833512e-14,0,200.18703419504496,pfba
b4289,1,16,0.3983895354016732,0.3983895354016812,-7.993605777301127e-15,0,201.2342212613173,pfba
b4288,1,16,0.3983895354016732,0.3983895354016812,-7.993605777301127e-15,0,201.2342212613173,pfba
b4290,1,16,0.3983895354016732,0.3983895354016812,-7.993605777301127e-15,0,201.2342212613173,pfba
b4287,1,16,0.3983895354016732,0.3983895354016812,-7.993605777301127e-15,0,201.2342212613173,pfba
b1102,1,14,0.3983895354016732,0.3983895354016822,-9.048317650695026e-15,0,200.1870341950448,pfba
