o2_bound,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
0.0,b1640,1,93,0.13410915918519603,0.13410915918518967,6.356026815979021e-15,0,2535.4059895150153
0.0,b1606,2,413,0.13410915918519603,3.59776728487867e-16,0.13410915918519567,1,6908.618816117883
0.0,b0048,1,413,0.13410915918519603,-5.294628707123233e-30,0.13410915918519603,1,6908.618816118482
0.0,b3390,1,413,0.13410915918519603,-5.294628707123233e-30,0.13410915918519603,1,6908.618816118482
0.0,b0388,1,413,0.13410915918519603,-1.8334371869701797e-30,0.13410915918519603,1,6908.6188161184355
0.0,b1745,1,93,0.13410915918519603,0.13410915918519678,-7.494005416219807e-16,0,2535.405989515253
0.0,b0115,1,321,0.13410915918519603,0.1339418355888472,0.00016732359634882843,0,394.9195159200055
0.0,b0114,1,321,0.13410915918519603,0.1339418355888532,0.00016732359634283323,0,394.91951592001084
0.0,b3128,1,81,0.13410915918519603,0.13410915918519414,1.887379141862766e-15,0,395.2717313887469
0.0,b2255,2,81,0.13410915918519603,0.13410915918519636,-3.3306690738754696e-16,0,395.2717313887474
0.0,b0774,1,410,0.13410915918519603,-9.427068314284103e-18,0.13410915918519603,1,837.25787850969
0.0,b1605,1,81,0.13410915918519603,0.1341091591851941,1.942890293094024e-15,0,395.2717313887442
0.0,b2818,1,410,0.13410915918519603,9.157301145097265e-16,0.13410915918519511,1,837.257878509691
0.0,b1489,3,81,0.13410915918519603,0.13410915918518693,9.103828801926284e-15,0,395.2717313887393
0.0,b3032,1,81,0.13410915918519603,0.13410915918519636,-3.3306690738754696e-16,0,395.2717313887474
0.0,b0334,1,81,0.13410915918519603,0.13410915918519636,-3.3306690738754696e-16,0,395.2717313887474
0.0,b0092,1,410,0.13410915918519603,7.875425077944761e-16,0.13410915918519525,1,837.257878509691
0.0,b0381,1,410,0.13410915918519603,0.0,0.13410915918519603,1,837.2578785097104
0.0,b2715,2,81,0.13410915918519603,0.1341091591851948,1.2212453270876722e-15,0,395.27173138874497
0.0,b1738,2,81,0.13410915918519603,0.13410915918519664,-6.106226635438361e-16,0,395.27173138874787
0.0,b1736,2,81,0.13410915918519603,0.13410915918519664,-6.106226635438361e-16,0,395.27173138874787
0.0,b1737,2,81,0.13410915918519603,0.13410915918519664,-6.106226635438361e-16,0,395.27173138874787
0.0,b2224,1,439,0.13410915918519603,0.13039414861087678,0.0037150105743192496,0,2540.7333768582553
0.0,b0842,2,81,0.13410915918519603,0.13410915918519672,-6.938893903907228e-16,0,2450.05939691904
0.0,b0047,1,81,0.13410915918519603,0.13410915918518942,6.6058269965196814e-15,0,2450.059396918693
0.0,b3350,1,81,0.13410915918519603,0.13410915918518942,6.6058269965196814e-15,0,2450.059396918693
0.0,b1216,3,81,0.13410915918519603,0.13410915918518942,6.6058269965196814e-15,0,2450.059396918693
0.0,b0728,1,78,0.13410915918519603,0.13410915918518942,6.6058269965196814e-15,0,2450.044527730748
0.0,b0729,1,78,0.13410915918519603,0.13410915918519503,9.992007221626409e-16,0,2450.0445277310005
0.0,b0650,1,78,0.13410915918519603,0.13410915918519503,9.992007221626409e-16,0,2450.0445277310005
0.0,b0757,1,78,0.13410915918519603,0.13410915918519503,9.992007221626409e-16,0,2450.0445277310005
0.0,b0133,1,413,0.13410915918519603,-3.226075744487041e-16,0.13410915918519636,1,6908.618816118629
0.0,b2165,1,87,0.13410915918519603,0.1341091591851967,-6.661338147750939e-16,0,2451.739022057664
0.0,b3389,1,413,0.13410915918519603,5.639610423255778e-16,0.13410915918519548,1,6908.618816118127
0.0,b2366,1,87,0.13410915918519603,0.13410915918519734,-1.304512053934559e-15,0,2451.7390220576835
0.0,b1723,1,90,0.13410915918519603,0.1341091591851958,2.220446049250313e-16,0,2495.4783668180917
0.0,b3612,1,412,0.13410915918519603,0.0,0.13410915918519603,1,5753.131930299671
0.0,b0755,1,412,0.13410915918519603,0.0,0.13410915918519603,1,5753.131930299671
0.0,b3919,1,441,0.13410915918519603,0.05129749267930688,0.08281166650588914,0,1524.1361639958254
0.0,b2914,1,421,0.13410915918519603,0.09890483928467174,0.03520431990052429,0,71.06521455571114
0.0,b2320,1,107,0.13410915918519603,0.13410819263236562,9.665528304114712e-07,0,0.7846419778471427
0.0,b1107,3,69,0.13410915918519603,0.13410915918519387,2.1649348980190553e-15,0,0.784677950212064
0.0,b1539,4,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b3823,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b0813,2,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b2919,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b3870,1,408,0.13410915918519603,-9.421808363679247e-14,0.13410915918529026,1,365.80303718234654
0.0,b2947,1,69,0.13410915918519603,0.13410915918519578,2.498001805406602e-16,0,0.7846779502121566
0.0,b2253,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b2254,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b2256,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b2258,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b4544,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b3621,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b3001,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b1781,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b3620,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b3624,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b3629,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b3628,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b3627,1,69,0.13410915918519603,0.13410915918518865,7.382983113757291e-15,0,0.7846779502110349
0.0,b3850,2,408,0.13410915918519603,1.455692477618381e-15,0.1341091591851946,1,365.80303718183353
0.0,b3630,1,69,0.13410915918519603,0.13410915918519634,-3.0531133177191805e-16,0,0.7846779502122315
0.0,b3632,1,69,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.784677950211482
0.0,b3625,1,69,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.784677950211482
0.0,b2810,1,69,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.784677950211482
0.0,b1680,5,69,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.784677950211482
0.0,b3867,1,408,0.13410915918519603,0.0,0.13410915918519603,1,365.8030371818851
0.0,b3824,1,69,0.13410915918519603,0.1341091591851972,-1.1657341758564144e-15,0,0.784677950212355
0.0,b2133,1,69,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.784677950211482
0.0,b2260,1,69,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.784677950211482
0.0,b1919,1,69,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.784677950211482
0.0,b2578,2,69,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.784677950211482
0.0,b1533,3,69,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.784677950211482
0.0,b4394,3,69,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.784677950211482
0.0,b2499,1,408,0.13410915918519603,-6.743446581573637e-14,0.13410915918526348,1,365.8030371822456
0.0,b3825,35,69,0.13410915918519603,0.13410915918519511,9.159339953157541e-16,0,0.7846779502116358
0.0,b2835,21,69,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.784677950211482
0.0,b3029,2,69,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.784677950211482
0.0,b2889,1,66,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.7846777097671187
0.0,b3821,42,66,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.7846777097671187
0.0,b2146,1,66,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.7846777097671187
0.0,b2147,1,66,0.13410915918519603,0.1341091591851921,3.941291737419306e-15,0,0.7846777097671187
