gene_id,gene_name,stratum,glpk_status,highs_status,b_lex_glpk,b_lex_highs,b_deposited,kV_deposited,kV_lex_glpk_vs_wt,kV_lex_highs_vs_wt,kV_lex_cross_engine,t_glpk_s,t_highs_s
b3666,,floor_sample,ok,ok,0.6947359182109608,0.6947359182109591,0.6947359182109599,200.00005240073315,0.0,0.0,0.0,1.2578160762786865,0.7229452133178711
b1773,,topkV,ok,ok,0.694735918210989,0.6947359182109591,0.6947359182109893,289.84856923347866,89.84851692851262,89.84851685961952,0.0,1.0988152027130127,0.7172343730926514
b2097,,topkV,ok,ok,0.694735918210989,0.6947359182109591,0.6947359182109893,289.84856923347866,89.84851692851262,89.84851685961952,0.0,1.2402100563049316,0.7305948734283447
b2802,,floor_sample,ok,ok,0.6947359182109554,0.6947359182109591,0.6947359182109561,200.00005230473369,0.0,0.0,0.0,1.0861554145812988,0.7229316234588623
b4079,,floor_sample,ok,ok,0.6947359182109677,0.6947359182109591,0.6947359182109701,200.00005230473508,0.0,0.0,0.0,1.243443250656128,0.7125828266143799
b2241,,floor_sample,ok,ok,0.6947359182110233,0.6947359182109633,0.6947359182110247,200.0000524007698,0.0,0.0,0.0,1.114804744720459,0.695955753326416
b1301,,floor_sample,ok,ok,0.6947359182109677,0.6947359182109633,0.6947359182109701,200.00005230473508,0.0,0.0,0.0,1.240314245223999,0.6866836547851562
b3432,,floor_sample,ok,ok,0.6947359182109321,0.6947359182109591,0.6947359182109313,200.0000524007384,0.0,0.0,0.0,1.2645130157470703,0.692258358001709
b3927,,floor_sample,ok,ok,0.6947359182143417,0.6947359182109591,0.694735918214341,200.0000523062512,0.0,0.0,0.0,1.0954086780548096,0.6906065940856934
b3621,,floor_sample,ok,ok,0.6947359182109466,0.6947359182109616,0.6947359182109468,200.00005230473,0.0,0.0,0.0,1.2183616161346436,0.6881585121154785
b3266,,floor_sample,ok,ok,0.6947359182109677,0.6947359182109591,0.6947359182109701,200.00005230473508,0.0,0.0,0.0,1.1054089069366455,0.7188930511474609
b3907,,floor_sample,ok,ok,0.6947359182109593,0.6947359182109591,0.6947359182109604,200.00005230473727,0.0,0.0,0.0,1.2326815128326416,0.7258574962615967
b1193,,floor_sample,ok,ok,0.6947359182109665,0.6947359182109624,0.6947359182109657,200.00005230473,0.0,0.0,0.0,1.104353904724121,0.6967861652374268
b2710,,floor_sample,ok,ok,0.6947359182109677,0.6947359182109591,0.6947359182109701,200.00005230473508,0.0,0.0,0.0,1.2458796501159668,0.7136485576629639
b2037,,floor_sample,ok,ok,0.6947359182108284,0.6947359182109591,0.6947359182108255,200.0000523046658,0.0,0.0,0.0,1.113340139389038,0.7133557796478271
b2032,,floor_sample,ok,ok,0.6947359182109714,0.6947359182109591,0.6947359182109712,200.00005230473124,0.0,0.0,0.0,1.253678798675537,0.7161965370178223
b0902,,floor_sample,ok,ok,0.6947359182109559,0.6947359182109633,0.6947359182109568,200.000052400722,0.0,0.0,0.0,1.2504258155822754,0.7126984596252441
b1723,,topkV,ok,ok,0.6947359182109677,0.6947359182109633,0.6947359182109671,289.848569232985,89.84851692848682,89.848516859619,0.0,1.2771191596984863,0.6749823093414307
b0576,,floor_sample,ok,ok,0.6947359182109626,0.6947359182109591,0.6947359182109621,200.0000523047248,0.0,0.0,0.0,1.2529785633087158,0.6388392448425293
b1378,,floor_sample,ok,ok,0.694548499233707,0.6945484992476327,0.6945484992337084,200.03029919123176,0.02952449094848109,0.029524490859278243,0.0,1.1002295017242432,0.7261950969696045
b3749,,floor_sample,ok,ok,0.6947359182110983,0.6947359182109591,0.6947359182110987,200.00005230473,0.0,0.0,0.0,1.2639174461364746,0.7167079448699951
b2234,,floor_sample,ok,ok,0.6947359182109616,0.6947359182109633,0.6947359182109625,200.00005230473369,0.0,0.0,0.0,1.123950719833374,0.6745612621307373
b3132,,floor_sample,ok,ok,0.6947359182117374,0.6947359182109591,0.6947359182117415,200.0000524010777,0.0,0.0,0.0,1.2419450283050537,0.7255585193634033
b2254,,floor_sample,ok,ok,0.6947359182109577,0.6947359182109634,0.6947359182109574,200.0000523047277,0.0,0.0,0.0,1.1168365478515625,0.6999037265777588
b3566,,floor_sample,ok,ok,0.6947359182109677,0.6947359182109591,0.6947359182109701,200.00005230473508,0.0,0.0,0.0,1.2561323642730713,0.7109382152557373
b1859,,floor_sample,ok,ok,0.6947359182109677,0.6947359182109634,0.6947359182109701,200.00005230473508,0.0,0.0,0.0,1.2695999145507812,0.7006723880767822
