pi_bound,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
-0.25,b1134,3,260,0.2591731753689938,0.2591731753691694,-1.7563728249569976e-13,0,4262.354656931406
-0.25,b3614,3,260,0.2591731753689938,0.2591731753691694,-1.7563728249569976e-13,0,4262.354656931406
-0.25,b3642,1,474,0.2591731753689938,-4.0439630289977927e-16,0.2591731753689942,1,5370.843991384802
-0.25,b0415,1,474,0.2591731753689938,0.0,0.2591731753689938,1,5370.843991384001
-0.25,b3771,2,474,0.2591731753689938,-3.6451192975627923e-16,0.2591731753689942,1,5370.843991384091
-0.25,b3885,1,261,0.2591731753689938,0.2591731753689761,1.7652546091539992e-14,0,4262.377504735907
-0.25,b2293,8,261,0.2591731753689938,0.2591731753689972,-3.386180225106728e-15,0,4262.377504735793
-0.25,b3114,2,283,0.2591731753689938,0.2591731753689813,1.2490009027033011e-14,0,5492.925178221505
-0.25,b3951,1,283,0.2591731753689938,0.2591731753691075,-1.1374234887284734e-13,0,5492.925178220285
-0.25,b3952,1,283,0.2591731753689938,0.2591731753691075,-1.1374234887284734e-13,0,5492.925178220285
-0.25,b0902,2,283,0.2591731753689938,0.2591731753691075,-1.1374234887284734e-13,0,5492.925178220285
-0.25,b0903,2,283,0.2591731753689938,0.2591731753691075,-1.1374234887284734e-13,0,5492.925178220285
-0.25,b2579,2,283,0.2591731753689938,0.2591731753691075,-1.1374234887284734e-13,0,5492.925178220285
-0.25,b4154,2,283,0.2591731753689938,0.2591731753691075,-1.1374234887284734e-13,0,5492.925178220285
-0.25,b4151,2,283,0.2591731753689938,0.2591731753691075,-1.1374234887284734e-13,0,5492.925178220285
-0.25,b4153,2,283,0.2591731753689938,0.2591731753691075,-1.1374234887284734e-13,0,5492.925178220285
-0.25,b4152,2,283,0.2591731753689938,0.2591731753691075,-1.1374234887284734e-13,0,5492.925178220285
-0.25,b0871,1,283,0.2591731753689938,0.2591731753691075,-1.1374234887284734e-13,0,5492.925178220285
-0.25,b2458,1,281,0.2591731753689938,0.2591731753691075,-1.1374234887284734e-13,0,5490.654509970776
-0.25,b2297,2,281,0.2591731753689938,0.2591731753689677,2.6090241078691185e-14,0,5490.654509972144
-0.25,b3115,2,281,0.2591731753689938,0.2591731753689677,2.6090241078691185e-14,0,5490.654509972144
-0.25,b2296,1,281,0.2591731753689938,0.2591731753689677,2.6090241078691185e-14,0,5490.654509972144
-0.25,b1849,2,281,0.2591731753689938,0.2591731753689706,2.3203661214665772e-14,0,5848.259632355615
