fe_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,engine
-0.01,b1993,,2,151,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,5940.2376693129445,
-0.01,b2316,,1,460,0.6226262374694641,0.0,0.6226262374694641,1,18776.74098326149,
-0.01,b3255,,1,460,0.6226262374694641,0.0,0.6226262374694641,1,18776.74098326152,
-0.01,b0185,,1,460,0.6226262374694641,0.0,0.6226262374694641,1,18776.74098326152,
-0.01,b3256,,1,460,0.6226262374694641,0.0,0.6226262374694641,1,18776.74098326152,
-0.01,b4069,,2,186,0.6226262374694641,0.6226262374697222,-2.581268532253489e-13,0,5412.473265284436,
-0.01,b1119,,1,186,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,5412.473265284199,
-0.01,b3784,,1,186,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,5412.473265284199,
-0.01,b2415,,18,192,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4878.012844441957,
-0.01,b0679,,1,192,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4878.0128444420025,
-0.01,b1101,,2,192,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4878.0128444420025,
-0.01,b2417,,6,192,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4878.0128444420025,
-0.01,b2416,,19,192,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4878.0128444420025,
-0.01,b3959,,1,462,0.6226262374694641,-1.998460825406497e-16,0.6226262374694643,1,16804.529115334826,
-0.01,b2818,,1,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.52911533479,
-0.01,b0078,,2,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.52911533479,
-0.01,b3670,,2,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.52911533499,
-0.01,b3671,,2,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.52911533499,
-0.01,b0077,,2,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.52911533499,
-0.01,b3115,,2,227,0.6226262374694641,0.6226262374696468,-1.8274270985330082e-13,0,4062.567758019787,
-0.01,b1849,,2,228,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,4063.4643261982537,
-0.01,b2296,,1,228,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4063.4643261982624,
-0.01,b2428,,1,228,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4063.4643261982624,
-0.01,b3794,,1,228,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4063.4643261982624,
-0.01,b1818,,5,229,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4620.474166588337,
-0.01,b1819,,5,229,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,4620.47416658833,
-0.01,b1817,,5,229,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,4620.47416658833,
-0.01,b2429,,2,229,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,4620.47416658833,
-0.01,b3224,,1,229,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,4620.47416658833,
-0.01,b4311,,1,229,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,4620.47416658833,
-0.01,b3225,,1,229,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,4620.47416658833,
-0.01,b0221,,8,226,0.6226262374694641,0.6226262374696472,-1.8307577676068834e-13,0,4919.580250977127,
-0.01,b1091,,3,462,0.6226262374694641,-9.992304127032485e-17,0.6226262374694642,1,16804.529115334888,
-0.01,b3957,,2,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.529115334863,
-0.01,b3200,,9,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.529115334703,
-0.01,b4261,,9,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.529115335077,
-0.01,b3201,,9,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.529115335077,
-0.01,b4262,,9,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.529115335077,
-0.01,b3199,,9,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.529115335077,
-0.01,b1519,,1,226,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4920.996775911802,
-0.01,b1276,,2,462,0.6226262374694641,-2.6979221142987708e-15,0.6226262374694668,1,16804.529115334597,
-0.01,b0118,,3,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.52911533492,
-0.01,b1748,,2,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.52911533489,
-0.01,b3359,,2,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.5291153348,
-0.01,b1090,,7,253,0.6226262374694641,0.6226262374696468,-1.8274270985330082e-13,0,4960.09974129992,
-0.01,b3475,,1,253,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4960.099741299867,
-0.01,b2563,,1,253,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4960.099741299867,
-0.01,b2578,,2,253,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4960.099741299867,
-0.01,b1533,,2,253,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4960.099741299867,
-0.01,b4067,,2,253,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4960.099741299867,
-0.01,b1623,,2,253,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4960.099741299867,
-0.01,b1096,,1,462,0.6226262374694641,3.1295896525865746e-13,0.6226262374691511,1,16804.529115324924,
-0.01,b1812,,2,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.52911533497,
-0.01,b3360,,1,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.52911533497,
-0.01,b3665,,1,238,0.6226262374694641,0.6226262374696468,-1.8274270985330082e-13,0,4982.884223489899,
-0.01,b3654,,3,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4982.884223489886,
-0.01,b3714,,1,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4982.884223489886,
-0.01,b0474,,13,462,0.6226262374694641,-2.0698203888484774e-14,0.6226262374694848,1,16804.52911533536,
-0.01,b0120,,1,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685115,
-0.01,b3806,,1,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b0030,,5,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b2393,,7,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b2964,,11,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b2406,,6,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b0411,,7,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b1992,,1,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b1709,,3,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b0158,,3,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b1711,,3,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b3966,,3,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b3005,,10,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b3006,,10,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b1252,,10,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b3397,,1,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b3034,,1,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b0469,,1,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685118,
-0.01,b2750,,1,462,0.6226262374694641,-1.5834691499387262e-15,0.6226262374694657,1,16804.529115334608,
-0.01,b1131,,2,462,0.6226262374694641,2.0504305883234212e-14,0.6226262374694436,1,16804.529115334335,
-0.01,b4177,,1,462,0.6226262374694641,4.8625625708660657e-14,0.6226262374694155,1,16804.529115333422,
-0.01,b0677,,1,238,0.6226262374694641,0.6226262374696466,-1.8252066524837574e-13,0,4980.653300685128,
-0.01,b0110,,4,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685151,
-0.01,b2817,,2,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685151,
-0.01,b2435,,2,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685151,
-0.01,b4169,,2,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685151,
-0.01,b1107,,3,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685151,
-0.01,b0433,,3,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685151,
-0.01,b3619,,1,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685151,
-0.01,b2937,,1,238,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4980.653300685151,
-0.01,b3018,,7,462,0.6226262374694641,-9.992304127032485e-17,0.6226262374694642,1,16804.529115334943,
-0.01,b3958,,1,462,0.6226262374694641,0.0,0.6226262374694641,1,16804.529115334906,
-0.01,b0575,,2,240,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,4974.215908307475,
-0.01,b0572,,2,240,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4974.215908307501,
-0.01,b0573,,2,240,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4974.215908307501,
-0.01,b0574,,2,240,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4974.215908307501,
-0.01,b4006,,2,462,0.6226262374694641,7.55418192003656e-14,0.6226262374693886,1,16804.529115332778,
-0.01,b0522,,1,462,0.6226262374694641,2.0096014630795428e-14,0.622626237469444,1,16804.529115334295,
-0.01,b0523,,1,462,0.6226262374694641,1.6390530433306013e-14,0.6226262374694477,1,16804.5291153344,
-0.01,b0727,,1,240,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4974.215908307476,
-0.01,b0116,,3,156,0.6226262374694641,0.6226262374696483,-1.841859997853135e-13,0,3604.9257316360663,
-0.01,b0726,,1,156,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,3604.9257316359785,
