o2_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
-2.5,b1525,,2,17,0.366799589669811,0.36679958966965076,1.6026069360464135e-13,0,253.41966669303605
-2.5,b2661,,1,17,0.366799589669811,0.36679958966965076,1.6026069360464135e-13,0,253.41966669303605
-2.5,b2260,,1,17,0.366799589669811,0.36679958966965076,1.6026069360464135e-13,0,253.41966669303605
-2.5,b2261,,1,17,0.366799589669811,0.36679958966965076,1.6026069360464135e-13,0,253.41966669303605
-2.5,b0721,,1,122,0.366799589669811,0.3667968703980525,2.7192717585444726e-06,0,253.46504182584243
-2.5,b0722,,1,122,0.366799589669811,0.3667968703980549,2.719271756101982e-06,0,253.4650418258422
-2.5,b0724,,1,122,0.366799589669811,0.3667968703980549,2.719271756101982e-06,0,253.4650418258422
-2.5,b0723,,1,122,0.366799589669811,0.3667968703980549,2.719271756101982e-06,0,253.4650418258422
-2.5,b0728,,1,17,0.366799589669811,0.3667995896696536,1.574296248918472e-13,0,253.3526435413574
-2.5,b0729,,1,17,0.366799589669811,0.36679958966965065,1.6037171590710386e-13,0,253.35264354135757
-2.5,b1521,,1,17,0.366799589669811,0.36679958966965065,1.6037171590710386e-13,0,253.35264354135757
-2.5,b2464,,1,330,0.366799589669811,0.3658338843740789,0.0009657052957321444,0,252.98515743021326
-2.5,b0008,,1,330,0.366799589669811,0.36583388437407816,0.000965705295732866,0,252.98515743021235
-2.5,b3062,,1,17,0.366799589669811,0.36679958966964965,1.613709166292665e-13,0,253.3526435413566
-2.5,b3061,,1,17,0.366799589669811,0.3667995896696615,1.4954704141700859e-13,0,253.35264354135973
-2.5,b3063,,1,17,0.366799589669811,0.3667995896696615,1.4954704141700859e-13,0,253.35264354135973
-2.5,b0368,,1,17,0.366799589669811,0.3667995896696615,1.4954704141700859e-13,0,253.35264354135973
-2.5,b3790,,1,17,0.366799589669811,0.3667995896696615,1.4954704141700859e-13,0,253.35264354135973
-2.5,b3791,,1,17,0.366799589669811,0.3667995896696615,1.4954704141700859e-13,0,253.35264354135973
-2.5,b2038,,1,17,0.366799589669811,0.3667995896696615,1.4954704141700859e-13,0,253.35264354135973
-2.5,b2040,,1,17,0.366799589669811,0.3667995896696615,1.4954704141700859e-13,0,253.35264354135973
-2.5,b2041,,1,17,0.366799589669811,0.3667995896696615,1.4954704141700859e-13,0,253.35264354135973
-2.5,b3788,,1,17,0.366799589669811,0.3667995896696615,1.4954704141700859e-13,0,253.35264354135973
-2.5,b0915,,1,431,0.366799589669811,1.4857078548640436e-16,0.36679958966981085,1,885.0906613135863
-2.5,b2095,,1,17,0.366799589669811,0.3667995896696404,1.7064127888488656e-13,0,253.35264354135586
-2.5,b3137,,1,17,0.366799589669811,0.3667995896696517,1.5931700403370996e-13,0,253.35264354135825
-2.5,b2096,,1,17,0.366799589669811,0.3667995896696517,1.5931700403370996e-13,0,253.35264354135825
-2.5,b3132,,1,17,0.366799589669811,0.3667995896696517,1.5931700403370996e-13,0,253.35264354135825
-2.5,b0166,,1,431,0.366799589669811,-4.1761051118427025e-17,0.3667995896698111,1,1281.176224105246
-2.5,b2480,,1,17,0.366799589669811,0.3667995896696452,1.6581180872776713e-13,0,253.35264354135637
-2.5,b0066,,1,17,0.366799589669811,0.3667995896696511,1.599276266972538e-13,0,253.3526435413579
-2.5,b0067,,1,17,0.366799589669811,0.3667995896696511,1.599276266972538e-13,0,253.3526435413579
-2.5,b0068,,1,17,0.366799589669811,0.3667995896696511,1.599276266972538e-13,0,253.3526435413579
-2.5,b3616,,1,17,0.366799589669811,0.3667995896696511,1.599276266972538e-13,0,253.3526435413579
-2.5,b3772,,1,425,0.366799589669811,-2.4737084697068815e-17,0.366799589669811,1,1148.2910473942725
-2.5,b3117,,1,425,0.366799589669811,0.0,0.366799589669811,1,1148.2910473942632
-2.5,b1719,,1,17,0.366799589669811,0.36679958966965115,1.5987211554602254e-13,0,253.35264354135666
-2.5,b3823,,1,17,0.366799589669811,0.36679958966964576,1.6525669721545455e-13,0,253.35264354135666
-2.5,b3992,,1,425,0.366799589669811,2.3326841879060807e-22,0.366799589669811,1,1148.2910473942559
-2.5,b3990,,1,425,0.366799589669811,0.0,0.366799589669811,1,1148.291047394283
-2.5,b0423,,1,425,0.366799589669811,0.0,0.366799589669811,1,1148.291047394283
-2.5,b4407,,1,425,0.366799589669811,0.0,0.366799589669811,1,1148.291047394283
-2.5,b2935,,2,432,0.366799589669811,1.3343203211182072e-17,0.366799589669811,1,946.9449002278693
-2.5,b2465,,2,432,0.366799589669811,0.0,0.366799589669811,1,946.9449002278703
-2.5,b0997,,2,17,0.366799589669811,0.3667995896696474,1.6364687382974807e-13,0,253.35264354135757
-2.5,b0996,,2,17,0.366799589669811,0.366799589669644,1.670330540548548e-13,0,253.35264354135643
-2.5,b2827,,1,425,0.366799589669811,1.600055675814936e-16,0.36679958966981085,1,1148.291047394253
-2.5,b1106,,1,17,0.366799589669811,0.36679958966964454,1.6647794254254222e-13,0,253.35264354135558
-2.5,b0417,,1,425,0.366799589669811,7.82197081023194e-16,0.36679958966981024,1,1148.2910473942632
-2.5,b3993,,1,425,0.366799589669811,0.0,0.366799589669811,1,1148.2910473942661
-2.5,b3919,,1,444,0.366799589669811,0.27233256399956485,0.09446702567024617,0,1428.2729909103082
-2.5,b0613,,1,12,0.366799589669811,0.36679958966962833,1.826871987020695e-13,0,0.08549855489996405
-2.5,b0888,,1,7,0.366799589669811,0.3667995896696457,1.653122083666858e-13,0,0.04416691579568982
-2.5,b4239,,1,7,0.366799589669811,0.3667995896696446,1.6642243139131097e-13,0,0.04416691579568974
-2.5,b1897,,1,7,0.366799589669811,0.3667995896696446,1.6642243139131097e-13,0,0.04416691579568974
-2.5,b1896,,1,7,0.366799589669811,0.3667995896696446,1.6642243139131097e-13,0,0.04416691579568974
-2.5,b3519,,1,7,0.366799589669811,0.3667995896696446,1.6642243139131097e-13,0,0.04416691579568974
-2.5,b1197,,1,7,0.366799589669811,0.3667995896696446,1.6642243139131097e-13,0,0.04416691579568974
-2.5,b4240,,1,7,0.366799589669811,0.3667995896696446,1.6642243139131097e-13,0,0.04416691579568974
-2.5,b1260,,3,423,0.366799589669811,-1.0918832010256924e-17,0.366799589669811,1,819.785967688146
-2.5,b1261,,3,423,0.366799589669811,0.0,0.366799589669811,1,819.7859676881427
-2.5,b3384,,1,7,0.366799589669811,0.3667995896696452,1.6581180872776713e-13,0,0.04416691579568981
-2.5,b3709,,1,7,0.366799589669811,0.3667995896696449,1.6614487563515468e-13,0,0.04416691579568975
-2.5,b0509,,1,7,0.366799589669811,0.3667995896696449,1.6614487563515468e-13,0,0.04416691579568975
-2.5,b3125,,1,7,0.366799589669811,0.3667995896696449,1.6614487563515468e-13,0,0.04416691579568975
-2.5,b3991,,1,423,0.366799589669811,-1.2010783175244813e-16,0.36679958966981113,1,819.7859676881343
-2.5,b1637,,1,7,0.366799589669811,0.36679958966965154,1.5948353748740374e-13,0,0.04416691579569028
-2.5,b1907,,1,7,0.366799589669811,0.36679958966964205,1.6897594434794883e-13,0,0.04416691579568952
-2.5,b0179,,1,432,0.366799589669811,8.032693745327245e-15,0.366799589669803,1,586.5262792938258
-2.5,b0085,,1,453,0.366799589669811,6.927055428772668e-14,0.36679958966974174,1,779.2593672121507
