atpm_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
40.0,b2518,,8,443,0.6947359182109677,7.75179671463647e-16,0.6947359182109669,1,8651.275237437816
40.0,b0451,,1,443,0.6947359182109677,7.970520032787971e-15,0.6947359182109597,1,8651.275237437238
40.0,b2711,,1,89,0.6947359182109677,0.694735918210954,1.3655743202889424e-14,0,526.8100598984175
40.0,b2710,,1,89,0.6947359182109677,0.6947359182109631,4.551914400963142e-15,0,526.8100598984175
40.0,b3477,,1,89,0.6947359182109677,0.6947359182109631,4.551914400963142e-15,0,526.8100598984175
40.0,b3476,,1,89,0.6947359182109677,0.6947359182109631,4.551914400963142e-15,0,526.8100598984175
40.0,b3479,,1,89,0.6947359182109677,0.6947359182109631,4.551914400963142e-15,0,526.8100598984175
40.0,b3480,,1,89,0.6947359182109677,0.6947359182109631,4.551914400963142e-15,0,526.8100598984175
40.0,b3478,,1,89,0.6947359182109677,0.6947359182109631,4.551914400963142e-15,0,526.8100598984175
40.0,b4390,,1,89,0.6947359182109677,0.6947359182109631,4.551914400963142e-15,0,526.8100598984175
40.0,b0639,,2,443,0.6947359182109677,2.106936964394574e-12,0.6947359182088607,1,8651.275237388338
40.0,b0751,,1,38,0.6947359182109677,0.6947359182109579,9.769962616701378e-15,0,526.8098496037632
40.0,b1768,,1,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b1991,,1,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b0109,,1,443,0.6947359182109677,-3.049396554589527e-13,0.6947359182112727,1,8651.275237444543
40.0,b3367,,1,38,0.6947359182109677,0.6947359182109736,-5.8841820305133305e-15,0,526.8098496037636
40.0,b1223,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2206,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2204,,1,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2203,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2205,,1,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2202,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b1468,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b1226,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b1227,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b1225,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b1465,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b1224,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b1466,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b1467,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b1469,,1,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2552,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b4374,,3,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2291,,6,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2744,,14,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b0480,,17,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b4161,,4,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b0650,,1,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b4394,,3,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b0980,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2781,,8,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2954,,3,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b1759,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b0160,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b3365,,1,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b3366,,1,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b4073,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b4071,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b4070,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b4072,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2035,,3,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2027,,3,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2033,,1,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2037,,1,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2034,,1,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2032,,1,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b3114,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b0903,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b0902,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b2579,,2,38,0.6947359182109677,0.6947359182109653,2.4424906541753444e-15,0,526.8098496037633
40.0,b0273,,1,443,0.6947359182109677,-2.598486215339299e-16,0.6947359182109679,1,8651.275237437505
40.0,b4254,,1,443,0.6947359182109677,0.0,0.6947359182109677,1,8651.275237437272
40.0,b3187,,1,443,0.6947359182109677,0.0,0.6947359182109677,1,8651.275237437272
40.0,b0907,,2,443,0.6947359182109677,1.4448802201887285e-30,0.6947359182109677,1,8651.275237437261
40.0,b0662,,1,38,0.6947359182109677,0.6947359182109719,-4.218847493575595e-15,0,526.8098496037629
40.0,b1281,,1,443,0.6947359182109677,-2.4023481757112097e-16,0.6947359182109679,1,8651.2752374373
40.0,b2907,,1,38,0.6947359182109677,0.6947359182109686,-8.881784197001252e-16,0,526.809849603763
