gene_id,gene_name,stratum,glpk_status,highs_status,b_lex_glpk,b_lex_highs,b_deposited,kV_deposited,kV_lex_glpk_vs_wt,kV_lex_highs_vs_wt,kV_lex_cross_engine,t_glpk_s,t_highs_s
b1199,dhaL,topkV,ok,ok,0.0796779070803402,0.07967790708033681,0.0796779070803421,621.1983566122085,427.18376767004213,427.18372507919713,4.547727786415898e-11,1.4733781814575195,0.798487663269043
b1198,dhaM,topkV,ok,ok,0.0796779070803402,0.07967790708033681,0.0796779070803421,621.1983566122085,427.18376767004213,427.18372507919713,4.547727786415898e-11,1.4578208923339844,0.9523022174835205
b3946,fsaB,topkV,ok,ok,0.07967797088350792,0.07967790708033742,0.0796779070803465,621.1983566123577,427.18380933104453,427.1837250788603,5.982749736343581e-11,1.5759458541870117,0.7873032093048096
b0825,fsaA,topkV,ok,ok,0.07967797088350792,0.07967790708033742,0.0796779708835086,624.8291338011345,427.18380933104453,427.1837250788603,5.982749736343581e-11,1.4947230815887451,0.7884252071380615
b2802,fucI,floor_sample,ok,ok,0.07967790708033892,0.07967790708033622,0.0796779070803394,200.0112673232852,3.4528246322015932e-12,0.0,4.547962671456996e-11,1.4673454761505127,0.796710729598999
b2388,glk,floor_sample,ok,ok,0.07967790708034189,0.07967790708033638,0.0796779070803557,200.0114942336793,3.4528079763150202e-12,0.0,4.5480316811490944e-11,1.4387753009796143,0.7860207557678223
b0368,tauD,floor_sample,ok,ok,0.07967790708033753,0.07967790708033622,0.0796779070803379,200.0135992078733,3.452890531972809e-12,0.0,4.547761024289396e-11,1.4418141841888428,0.7651638984680176
b2065,dcd,floor_sample,ok,ok,0.07967790708034189,0.07967790708033622,0.0796779070803275,200.0117644755732,3.4528079763150202e-12,0.0,4.5479916934474085e-11,1.3399107456207275,0.8241162300109863
b4173,hflX,floor_sample,ok,ok,0.07967790708034189,0.07967790708033681,0.0796779070803417,200.01359920787328,3.4528079763150202e-12,0.0,4.5479902323537986e-11,1.4441730976104736,0.8073365688323975
b4161,rsgA,floor_sample,ok,ok,0.07967790708034189,0.07967790708033622,0.0796779070803417,200.01359920787328,3.4528079763150202e-12,0.0,4.5479884228119067e-11,1.4412813186645508,0.7924332618713379
b3787,wecC,floor_sample,ok,ok,0.07967790708033104,0.07967790708033624,0.0796779070803315,200.01359920787328,3.4528047366163497e-12,0.0,4.54799677773238e-11,1.736100673675537,0.7871687412261963
b0153,fhuB,floor_sample,ok,ok,0.07967790708033326,0.07967790708033623,0.0796779070803362,200.01359920787323,3.452781601400609e-12,0.0,4.5480879223121176e-11,1.5943872928619385,0.7827558517456055
b2663,gabP,floor_sample,ok,ok,0.07967790708032997,0.07967790708033622,0.07967790708033,200.0135992078732,3.4528346638670777e-12,0.0,4.547905572230496e-11,1.441603422164917,0.8084571361541748
b0974,hyaC,floor_sample,ok,ok,0.07967790708034106,0.07967790708033622,0.0796779070803417,200.0135992078732,3.452848461242348e-12,0.0,4.547871022081295e-11,1.4409492015838623,0.8084578514099121
b4036,lamB,anchor,ok,ok,0.07967797088350626,0.07967790708033622,0.0796779708835055,0.0135989878079237,200.0,200.0,5.858151298940757e-11,1.4385030269622803,0.7854444980621338
b3631,waaG,floor_sample,ok,ok,0.07967790708033942,0.07967790708033977,0.0796779070803388,200.0135992078733,3.4528413643569292e-12,0.0,4.547858144773827e-11,1.4599575996398926,0.7608509063720703
b1300,puuC,floor_sample,ok,ok,0.07967797088350557,0.07967790708033638,0.0796779708835107,200.01204717291589,0.0,0.0,5.858256740405728e-11,1.4435656070709229,0.8115804195404053
