gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,solve_src
b3225,,1,0,0.0992479883158715,0.0992479883158487,2.2801205368239152e-14,0,0.0,
b0221,,8,400,0.0992479883158715,0.096785539545471,0.0024624487704005,0,0.4272203272626005,
b1091,,3,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848888,
b3957,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388485333,
b3200,,9,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388488806,
b4261,,9,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848814,
b3201,,9,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388488227,
b4262,,9,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848353,
b3199,,9,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388488073,
b1519,,1,4,0.0992479883158715,0.0992479883158516,1.988686992859812e-14,0,1.959355056219206e-09,
b1276,,2,423,0.0992479883158715,0.0,0.0992479883158715,1,164.0511919741658,
b0118,,3,423,0.0992479883158715,0.0,0.0992479883158715,1,164.05119197418702,
b1748,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638849086,
b3359,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848781,
b1090,,7,4,0.0992479883158715,0.099247988315866,5.4539706084710815e-15,0,1.959355065310117e-09,
b3475,,1,4,0.0992479883158715,0.0992479883158506,2.0858315075145132e-14,0,1.959355043685061e-09,
b2563,,1,4,0.0992479883158715,0.0992479883158506,2.0858315075145132e-14,0,1.959355043685061e-09,
b2578,,2,4,0.0992479883158715,0.0992479883158179,5.359601651377943e-14,0,1.959354997994925e-09,
b1533,,2,4,0.0992479883158715,0.0992479883158179,5.359601651377943e-14,0,1.959354997994925e-09,
b4067,,2,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b1623,,2,4,0.0992479883158715,0.0992479883158559,1.5626389071599078e-14,0,1.959355070171519e-09,
b1096,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638849169,
b1812,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388490847,
b3360,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388483367,
b3665,,1,4,0.0992479883158715,0.0992479883158481,2.335631688055173e-14,0,1.9593550488517987e-09,
b3654,,3,4,0.0992479883158715,0.0992479883158541,1.7361112547575882e-14,0,1.959355048476869e-09,
b3714,,1,4,0.0992479883158715,0.0992479883158541,1.7361112547575882e-14,0,1.959355048476869e-09,
b0474,,13,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388488835,
b0120,,1,4,0.0992479883158715,0.0992479883158578,1.3669620990697241e-14,0,1.95935506655614e-09,
b3806,,1,0,0.0992479883158715,0.0992479883158487,2.2759572004815712e-14,0,0.0,
b0030,,5,0,0.0992479883158715,0.0992479883156665,2.049610481336117e-13,0,0.0,
b2393,,7,4,0.0992479883158715,0.0992479883158534,1.8110513089197863e-14,0,1.959355041182886e-09,
b2964,,11,0,0.0992479883158715,0.0992479883158571,1.4391265956703592e-14,0,0.0,
b2406,,6,0,0.0992479883158715,0.0992479883158531,1.8401946633161973e-14,0,0.0,
b0411,,7,4,0.0992479883158715,0.0992479883158538,1.7694179454963432e-14,0,1.959355058210108e-09,
b1992,,1,0,0.0992479883158715,0.0992479883158779,-6.383782391594651e-15,0,0.0,
b1709,,3,0,0.0992479883158715,0.0992479883158515,1.9984014443252815e-14,0,0.0,
b0158,,3,0,0.0992479883158715,0.0992479883158515,1.9984014443252815e-14,0,0.0,
b1711,,3,0,0.0992479883158715,0.0992479883158515,1.9984014443252815e-14,0,0.0,
b3966,,3,0,0.0992479883158715,0.0992479883158515,1.9984014443252815e-14,0,0.0,
b3005,,10,0,0.0992479883158715,0.0992479883158592,1.2281842209915794e-14,0,0.0,
b3006,,10,0,0.0992479883158715,0.0992479883158592,1.2281842209915794e-14,0,0.0,
b1252,,10,0,0.0992479883158715,0.0992479883158592,1.2281842209915794e-14,0,0.0,
b3397,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b3034,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b0469,,1,0,0.0992479883158715,0.0992479883158543,1.7194579093882112e-14,0,0.0,
b2750,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848796,
b1131,,2,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848971,
b4177,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388489426,
b0677,,1,4,0.0992479883158715,0.0992479883158412,3.0309088572266774e-14,0,1.959354913063192e-09,
b0110,,4,0,0.0992479883158715,0.0992479883158483,2.3217539002473583e-14,0,0.0,
b2817,,2,0,0.0992479883158715,0.0992479883158375,3.3986702341337605e-14,0,0.0,
b2435,,2,0,0.0992479883158715,0.0992479883158375,3.3986702341337605e-14,0,0.0,
b4169,,2,0,0.0992479883158715,0.0992479883158375,3.3986702341337605e-14,0,0.0,
