gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,gene_id_str,bnum,keio_call,gene_name_keio,COG_id,PEC,MG_Tn5,Score
b2379,1,41,0.8217979336265955,0.8217979336265878,7.66053886991358e-15,0,13.3053318581407,b2379,b2379,N,yfdZ,COG0436,,,
b2290,1,41,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,13.305331858140306,b2290,b2290,N,yfbQ,COG0436,,,
b3564,2,41,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,13.305331858140306,b3564,b3564,N,xylB,COG1070,,,
b0063,3,41,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,13.305331858140306,b0063,b0063,u,araB,COG1069,,,
b3752,1,41,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,13.305331858140306,b3752,b3752,N,rbsK,COG0524,,,
b3926,1,41,0.8217979336265955,0.8217979336265906,4.884981308350689e-15,0,13.305331858140306,b3926,b3926,N,glpK,COG0554,,,
b4383,2,199,0.8217979336265955,0.8217935269041401,4.406722455385648e-06,0,6.591252223589443,b4383,b4383,N,deoB,COG1015,,,
b0928,4,428,0.8217979336265955,-2.3632074597900754e-14,0.8217979336266191,1,15132.409681797304,b0928,b0928,N,aspC,COG1448,,,
b3925,1,41,0.8217979336265955,0.821797933626592,3.4416913763379853e-15,0,6.588899124742932,b3925,b3925,N,glpX,COG1494,,,
b2930,1,41,0.8217979336265955,0.8217979336265975,-1.9984014443252818e-15,0,6.58889912474273,b2930,b2930,N,yggF,COG1494,,,
b4232,1,41,0.8217979336265955,0.8217979336265975,-1.9984014443252818e-15,0,6.58889912474273,b4232,b4232,N,fbp,COG0158,,,
b3697,6,41,0.8217979336265955,0.8217979336265975,-1.9984014443252818e-15,0,6.58889912474273,b3697,b3697,N,yidA,COG0561,,,
b3430,1,41,0.8217979336265955,0.8217979336265975,-1.9984014443252818e-15,0,6.58889912474273,b3430,b3430,N,glgC,COG0448,,,
b1676,1,41,0.8217979336265955,0.8217979336265975,-1.9984014443252818e-15,0,6.58889912474273,b1676,b1676,N,pykF,COG0469,,,
b1854,5,20,0.8217979336265955,0.8217979336265975,-1.9984014443252818e-15,0,11.369106722553864,b1854,b1854,N,pykA,COG0469,,,
b3197,1,428,0.8217979336265955,3.69822874417612e-16,0.8217979336265951,1,15132.409681796833,b3197,b3197,N,kdsD,COG0794,,,
b2708,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796555,b2708,b2708,N,gutQ,COG0794,,,
b0072,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796555,b0072,b0072,N,leuC,COG0065,,,
b0071,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796398,b0071,b0071,N,leuD,COG0066,,,
b3671,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796398,b3671,b3671,N,ilvB,COG0028,,,
b3670,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796673,b3670,b3670,N,ilvN,COG0440,,,
b0078,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796673,b0078,b0078,N,ilvH,COG0440,,,
b0908,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681796673,b0908,b0908,N,aroA,COG0128,,,
b1264,1,428,0.8217979336265955,-6.243197454584997e-30,0.8217979336265955,1,15132.409681796627,b1264,b1264,N,trpE,COG0147,,,
b1263,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681797018,b1263,b1263,N,trpD,COG0512,,,
b2599,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681797018,b2599,b2599,N,pheA,COG0077,,,
b2600,2,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681797071,b2600,b2600,N,tyrA,COG0287,,,
b2329,1,428,0.8217979336265955,0.0,0.8217979336265955,1,15132.409681797071,b2329,b2329,N,aroC,COG0082,,,
b1262,2,428,0.8217979336265955,5.094253921053212e-30,0.8217979336265955,1,15132.409681796724,b1262,b1262,N,trpC,COG0134,,,
b2779,1,426,0.8217979336265955,0.6654618649048746,0.1563360687217209,0,1932.2648524993513,b2779,b2779,E,eno,COG0148,E,u,2.5
b2925,2,408,0.8217979336265955,0.8104295494070173,0.011368384219578198,0,335.908299911763,b2925,b2925,E,fbaA,COG0191,E,u,3
b0963,1,20,0.8217979336265955,0.8217979336266062,-1.0769163338864018e-14,0,11.369106722554356,b0963,b0963,N,mgsA,COG1803,,,
b1702,1,20,0.8217979336265955,0.8217979336265759,1.9539925233402755e-14,0,11.369106722552264,b1702,b1702,N,pps,COG0574,,,
b4025,1,411,0.8217979336265955,0.8073695553031701,0.014428378323425362,0,425.4744774747352,b4025,b4025,N,pgi,COG0166,,,
b2926,1,440,0.8217979336265955,0.5758353074175259,0.2459626262090696,0,5260.498367145941,b2926,b2926,E,pgk,COG0126,N,N,0
b1850,2,23,0.8217979336265955,0.8217979336269791,-3.835820550079916e-13,0,309.15361483622246,b1850,b1850,N,eda,COG0800,,,
b0767,1,412,0.8217979336265955,0.8125879431636439,0.009209990462951567,0,464.5358771074674,b0767,b0767,N,ybhE,COG2706,,,
b3386,1,412,0.8217979336265955,0.8157034226205732,0.006094511006022318,0,392.35158944059833,b3386,b3386,N,rpe,COG0036,,,
b2464,1,73,0.8217979336265955,0.8217979336266662,-7.072120666862247e-14,0,21.538367669260793,b2464,b2464,N,talA,COG0176,,,
b0008,1,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b0008,b0008,N,talB,COG0176,,,
b2465,2,429,0.8217979336265955,3.9324748137295195e-14,0.8217979336265562,1,15051.477423818511,b2465,b2465,N,tktB,COG0021,,,
b0678,1,73,0.8217979336265955,0.8217979336265793,1.6209256159527285e-14,0,21.538367669258275,b0678,b0678,N,nagB,COG0363,,,
b3011,3,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b3011,b3011,N,yqhD,COG1979,,,
b3003,1,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b3003,b3003,N,yghA,COG1028,,,
b0493,1,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b0493,b0493,N,ybbO,COG1028,,,
b2411,1,73,0.8217979336265955,0.821797933626614,-1.8540724511240114e-14,0,21.538367669259287,b2411,b2411,E,ligA,COG0272,E,u,3
b0639,2,429,0.8217979336265955,-3.286908337358012e-12,0.8217979336298824,1,15051.477423940883,b0639,b0639,E,nadD,COG1057,u,u,1
b4390,1,23,0.8217979336265955,0.821797933626594,1.4432899320127035e-15,0,21.5419419732815,b4390,b4390,N,nadR,COG1056,,,
b2103,2,429,0.8217979336265955,2.531900294130011e-16,0.8217979336265953,1,15051.477423818644,b2103,b2103,N,thiD,COG0351,,,
b2418,4,23,0.8217979336265955,0.8217979336265799,1.554312234475219e-14,0,21.541941973280938,b2418,b2418,N,pdxK,COG2240,,,
b3831,1,23,0.8217979336265955,0.8217979336265868,8.659739592076221e-15,0,21.541941973281258,b3831,b3831,N,udp,COG2820,,,
b4384,7,186,0.8217979336265955,0.8217935269041362,4.406722459271428e-06,0,21.54466795950323,b4384,b4384,N,deoD,COG0813,,,
b3008,2,429,0.8217979336265955,-1.002558004830554e-15,0.8217979336265965,1,15051.477423818416,b3008,b3008,N,metC,COG0626,,,
b1134,3,23,0.8217979336265955,0.8217979336265735,2.19824158875781e-14,0,21.541941973280768,b1134,b1134,N,ymfB,COG0494,,,
b3642,1,429,0.8217979336265955,-5.01279002415277e-16,0.821797933626596,1,15051.4774238184,b3642,b3642,N,pyrE,COG0461,,,
b0415,1,429,0.8217979336265955,0.0,0.8217979336265955,1,15051.477423819502,b0415,b0415,E,ribE,COG0054,N,u,1
b2293,8,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b2293,b2293,N,yfbT,COG0637,,,
b3951,1,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b3951,b3951,N,pflD,COG1882,,,
b0902,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b0902,b0902,N,pflA,COG1180,,,
b0903,2,23,0.8217979336265955,0.8217979336265767,1.8762769116165146e-14,0,21.541941973280863,b0903,b0903,N,pflB,COG1882,,,
