gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,L1,solve_src
b2223,,3,8,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.069402824398345e-06,749.5838314199079,highs_pfba
b1241,,2,4,0.0992479883158474,0.0992479883158519,-4.468647674116255e-15,0,1.9593550662508923e-09,749.5838314199093,highs_pfba
b0351,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.583831419908,highs_pfba
s0001,,39,424,0.0992479883158474,0.0,0.0992479883158474,1,26792.529501201203,0.0,infeasible
b1463,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b1993,,2,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b2316,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847911,677.3684210526316,highs_pfba
b3255,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847911,677.3684210526316,highs_pfba
b0185,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847911,677.3684210526316,highs_pfba
b3256,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847911,677.3684210526316,highs_pfba
b4069,,2,4,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.959355064379748e-09,749.5838314199068,highs_pfba
b1119,,1,0,0.0992479883158474,0.0992479883158506,-3.1641356201816957e-15,0,0.0,749.5838314199075,highs_pfba
b3784,,1,8,0.0992479883158474,0.0992479883158506,-3.1641356201816957e-15,0,1.0694028240835208e-06,749.583831419905,highs_pfba
b2415,,18,422,0.0992479883158474,0.0744359912368873,0.0248119970789601,0,1200.1821018236408,774.0140722655703,highs_pfba
b0679,,1,4,0.0992479883158474,0.0992479883158474,0.0,0,1.959355062372647e-09,749.583831419906,highs_pfba
b1101,,2,419,0.0992479883158474,0.0744359912368821,0.0248119970789653,0,402.07446801175774,764.2336876335089,highs_pfba
b2417,,6,422,0.0992479883158474,0.0744359912368821,0.0248119970789653,0,585.4254544341477,764.2336876335073,highs_pfba
b2416,,19,422,0.0992479883158474,0.0744359912368873,0.0248119970789601,0,1200.1821018236408,774.0140722655703,highs_pfba
b3959,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847918,677.3684210526314,highs_pfba
b2818,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479285,677.3684210526314,highs_pfba
b0078,,2,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.321563884791,677.3684210526317,highs_pfba
b3670,,2,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.321563884791,677.3684210526317,highs_pfba
b3671,,2,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.321563884791,677.3684210526317,highs_pfba
b0077,,2,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.321563884791,677.3684210526317,highs_pfba
b3115,,2,424,0.0992479883158474,0.0,0.0992479883158474,1,26792.529501201203,0.0,infeasible
b1849,,2,424,0.0992479883158474,0.0,0.0992479883158474,1,26792.529501201203,0.0,infeasible
b2296,,1,424,0.0992479883158474,0.0,0.0992479883158474,1,26792.529501201203,0.0,infeasible
b2428,,1,4,0.0992479883158474,0.0992479883158506,-3.1641356201816957e-15,0,1.0674434690205382e-06,749.5838314199073,highs_pfba
b3794,,1,8,0.0992479883158474,0.0992479883158506,-3.1641356201816957e-15,0,1.0694028240835208e-06,749.583831419905,highs_pfba
b1818,,5,419,0.0992479883158474,0.0744359912368821,0.0248119970789653,0,402.0744680117712,764.2336876335114,highs_pfba
b1819,,5,419,0.0992479883158474,0.0744359912368821,0.0248119970789653,0,402.0744680117712,764.2336876335114,highs_pfba
b1817,,5,419,0.0992479883158474,0.0744359912368821,0.0248119970789653,0,402.0744680117712,764.2336876335114,highs_pfba
b2429,,2,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b3224,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b4311,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b3225,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b0221,,8,403,0.0992479883158474,0.0967855395454769,0.0024624487703704,0,0.4272775685807398,749.4827797704207,highs_pfba
b1091,,3,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479115,677.3684210526317,highs_pfba
b3957,,2,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479154,677.3684210526317,highs_pfba
b3200,,9,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388478995,677.3684210526317,highs_pfba
b4261,,9,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388478995,677.3684210526317,highs_pfba
b3201,,9,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388478995,677.3684210526317,highs_pfba
b4262,,9,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388478995,677.3684210526317,highs_pfba
b3199,,9,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388478995,677.3684210526317,highs_pfba
b1519,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b1276,,2,423,0.0992479883158474,-0.0,0.0992479883158474,1,164.05119197414436,681.818181818182,highs_pfba
b0118,,3,423,0.0992479883158474,-0.0,0.0992479883158474,1,164.05119197414436,681.818181818182,highs_pfba
b1748,,2,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.321563884791,677.3684210526317,highs_pfba
b3359,,2,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.321563884791,677.3684210526314,highs_pfba
b1090,,7,8,0.0992479883158474,0.0992479883158474,0.0,0,1.06940282408184e-06,749.5838314199045,highs_pfba
b3475,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b2563,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b2578,,2,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199067,highs_pfba
b1533,,2,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199067,highs_pfba
b4067,,2,4,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.0674434690205522e-06,749.5838314199084,highs_pfba
b1623,,2,4,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.959355065916713e-09,749.5838314199088,highs_pfba
b1096,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479206,677.3684210526314,highs_pfba
b1812,,2,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847917,677.3684210526314,highs_pfba
b3360,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479257,677.3684210526314,highs_pfba
b3665,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199079,highs_pfba
b3654,,3,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199079,highs_pfba
b3714,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199079,highs_pfba
b0474,,13,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847929,677.3684210526314,highs_pfba
b0120,,1,4,0.0992479883158474,0.0992479883158474,0.0,0,1.9593550588121943e-09,749.5838314199008,highs_pfba
b3806,,1,8,0.0992479883158474,0.0992479883158474,0.0,0,1.0694028240825033e-06,749.5838314199056,highs_pfba
b0030,,5,4,0.0992479883158474,0.0992479883158499,-2.4702462297909733e-15,0,1.959355063928493e-09,749.5838314199065,highs_pfba
b2393,,7,4,0.0992479883158474,0.0992479883158474,0.0,0,1.9593550617337806e-09,749.5838314199049,highs_pfba
b2964,,11,8,0.0992479883158474,0.0992479883158474,0.0,0,1.069402824080454e-06,749.583831419902,highs_pfba
b2406,,6,4,0.0992479883158474,0.0992479883158499,-2.4702462297909733e-15,0,1.959355064574731e-09,749.5838314199075,highs_pfba
b0411,,7,4,0.0992479883158474,0.0992479883158519,-4.440892098500626e-15,0,1.959355066221401e-09,749.5838314199092,highs_pfba
b1992,,1,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b1709,,3,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b0158,,3,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b1711,,3,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b3966,,3,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b3005,,10,4,0.0992479883158474,0.0992479883158499,-2.4702462297909733e-15,0,1.959355063844949e-09,749.5838314199066,highs_pfba
b3006,,10,4,0.0992479883158474,0.0992479883158499,-2.4702462297909733e-15,0,1.959355063844949e-09,749.5838314199066,highs_pfba
b1252,,10,4,0.0992479883158474,0.0992479883158499,-2.4702462297909733e-15,0,1.959355063844949e-09,749.5838314199066,highs_pfba
b3397,,1,8,0.0992479883158474,0.0992479883158519,-4.468647674116255e-15,0,1.069402824086012e-06,749.5838314199075,highs_pfba
b3034,,1,8,0.0992479883158474,0.0992479883158519,-4.468647674116255e-15,0,1.069402824086012e-06,749.5838314199075,highs_pfba
b0469,,1,0,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,0.0,749.5838314199079,highs_pfba
b2750,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479115,677.3684210526316,highs_pfba
b1131,,2,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.3215638847876,677.3684210526319,highs_pfba
b4177,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479234,677.3684210526314,highs_pfba
b0677,,1,4,0.0992479883158474,0.0992479883158506,-3.1641356201816957e-15,0,1.959355064525714e-09,749.5838314199073,highs_pfba
b0110,,4,4,0.0992479883158474,0.0992479883158474,0.0,0,1.959355058917853e-09,749.5838314199007,highs_pfba
b2817,,2,4,0.0992479883158474,0.0992479883158519,-4.468647674116255e-15,0,1.959355065822114e-09,749.5838314199087,highs_pfba
b2435,,2,4,0.0992479883158474,0.0992479883158519,-4.468647674116255e-15,0,1.959355065822114e-09,749.5838314199087,highs_pfba
b4169,,2,4,0.0992479883158474,0.0992479883158519,-4.468647674116255e-15,0,1.959355065822114e-09,749.5838314199087,highs_pfba
b1107,,3,4,0.0992479883158474,0.0992479883158506,-3.1641356201816957e-15,0,1.959355063184094e-09,749.5838314199053,highs_pfba
b0433,,3,0,0.0992479883158474,0.0992479883158506,-3.1641356201816957e-15,0,0.0,749.5838314199066,highs_pfba
b3619,,1,4,0.0992479883158474,0.0992479883158499,-2.484124017598788e-15,0,1.067443469020531e-06,749.5838314199062,highs_pfba
b2937,,1,8,0.0992479883158474,0.0992479883158519,-4.454769886308441e-15,0,1.069402824086803e-06,749.5838314199092,highs_pfba
b3018,,7,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.321563884791,677.3684210526314,highs_pfba
b3958,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479285,677.3684210526314,highs_pfba
b0575,,2,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b0572,,2,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b0573,,2,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b0574,,2,0,0.0992479883158474,0.0992479883158474,0.0,0,0.0,749.5838314199024,highs_pfba
b4006,,2,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.32156388479115,677.3684210526317,highs_pfba
b0522,,1,421,0.0992479883158474,-0.0,0.0992479883158474,1,285.321563884791,677.3684210526314,highs_pfba
